GEO_ID,NAME,S1902_C01_001E
id,Geographic Area Name,Total!!Estimate!!All households
0500000US01003,"Baldwin County, Alabama",72269
0500000US01015,"Calhoun County, Alabama",44323
0500000US01043,"Cullman County, Alabama",30798
0500000US01049,"DeKalb County, Alabama",26247
0500000US01051,"Elmore County, Alabama",29615
0500000US01055,"Etowah County, Alabama",39332
0500000US01069,"Houston County, Alabama",38870
0500000US01073,"Jefferson County, Alabama",264781
0500000US01077,"Lauderdale County, Alabama",38762
0500000US01081,"Lee County, Alabama",58191
0500000US01083,"Limestone County, Alabama",31590
0500000US01089,"Madison County, Alabama",140959
0500000US01095,"Marshall County, Alabama",33972
0500000US01097,"Mobile County, Alabama",152938
0500000US01101,"Montgomery County, Alabama",90103
0500000US01103,"Morgan County, Alabama",46990
0500000US01115,"St. Clair County, Alabama",31856
0500000US01117,"Shelby County, Alabama",76798
0500000US01121,"Talladega County, Alabama",31379
0500000US01125,"Tuscaloosa County, Alabama",71195
0500000US01127,"Walker County, Alabama",24452
0500000US02020,"Anchorage Municipality, Alaska",104936
0500000US02090,"Fairbanks North Star Borough, Alaska",35475
0500000US02170,"Matanuska-Susitna Borough, Alaska",30665
0500000US04001,"Apache County, Arizona",19855
0500000US04003,"Cochise County, Arizona",50202
0500000US04005,"Coconino County, Arizona",45911
0500000US04013,"Maricopa County, Arizona",1480327
0500000US04015,"Mohave County, Arizona",83801
0500000US04017,"Navajo County, Arizona",33772
0500000US04019,"Pima County, Arizona",395992
0500000US04021,"Pinal County, Arizona",128395
0500000US04025,"Yavapai County, Arizona",94920
0500000US04027,"Yuma County, Arizona",71751
0500000US05007,"Benton County, Arkansas",91670
0500000US05031,"Craighead County, Arkansas",39826
0500000US05045,"Faulkner County, Arkansas",44011
0500000US05051,"Garland County, Arkansas",40134
0500000US05069,"Jefferson County, Arkansas",26512
0500000US05085,"Lonoke County, Arkansas",26422
0500000US05119,"Pulaski County, Arkansas",157401
0500000US05125,"Saline County, Arkansas",43877
0500000US05131,"Sebastian County, Arkansas",50203
0500000US05143,"Washington County, Arkansas",82905
0500000US05145,"White County, Arkansas",28895
0500000US06001,"Alameda County, California",571828
0500000US06007,"Butte County, California",85289
0500000US06013,"Contra Costa County, California",391996
0500000US06017,"El Dorado County, California",67544
0500000US06019,"Fresno County, California",304209
0500000US06023,"Humboldt County, California",53553
0500000US06025,"Imperial County, California",45158
0500000US06029,"Kern County, California",263273
0500000US06031,"Kings County, California",42692
0500000US06033,"Lake County, California",26335
0500000US06037,"Los Angeles County, California",3293095
0500000US06039,"Madera County, California",45224
0500000US06041,"Marin County, California",105887
0500000US06045,"Mendocino County, California",35264
0500000US06047,"Merced County, California",79098
0500000US06053,"Monterey County, California",126904
0500000US06055,"Napa County, California",49619
0500000US06057,"Nevada County, California",41381
0500000US06059,"Orange County, California",1022542
0500000US06061,"Placer County, California",137500
0500000US06065,"Riverside County, California",714728
0500000US06067,"Sacramento County, California",530497
0500000US06071,"San Bernardino County, California",628798
0500000US06073,"San Diego County, California",1113610
0500000US06075,"San Francisco County, California",356916
0500000US06077,"San Joaquin County, California",223062
0500000US06079,"San Luis Obispo County, California",104760
0500000US06081,"San Mateo County, California",263280
0500000US06083,"Santa Barbara County, California",144261
0500000US06085,"Santa Clara County, California",633786
0500000US06087,"Santa Cruz County, California",93317
0500000US06089,"Shasta County, California",69799
0500000US06095,"Solano County, California",145502
0500000US06097,"Sonoma County, California",190662
0500000US06099,"Stanislaus County, California",171960
0500000US06101,"Sutter County, California",32901
0500000US06107,"Tulare County, California",134801
0500000US06111,"Ventura County, California",269566
0500000US06113,"Yolo County, California",73754
0500000US06115,"Yuba County, California",25361
0500000US08001,"Adams County, Colorado",159313
0500000US08005,"Arapahoe County, Colorado",233937
0500000US08013,"Boulder County, Colorado",124615
0500000US08014,"Broomfield County, Colorado",25557
0500000US08031,"Denver County, Colorado",287074
0500000US08035,"Douglas County, Colorado",118613
0500000US08041,"El Paso County, Colorado",252169
0500000US08059,"Jefferson County, Colorado",226920
0500000US08069,"Larimer County, Colorado",129210
0500000US08077,"Mesa County, Colorado",59066
0500000US08101,"Pueblo County, Colorado",61876
0500000US08123,"Weld County, Colorado",97822
0500000US09001,"Fairfield County, Connecticut",333528
0500000US09003,"Hartford County, Connecticut",343884
0500000US09005,"Litchfield County, Connecticut",73360
0500000US09007,"Middlesex County, Connecticut",65375
0500000US09009,"New Haven County, Connecticut",323270
0500000US09011,"New London County, Connecticut",105376
0500000US09013,"Tolland County, Connecticut",55354
0500000US09015,"Windham County, Connecticut",43556
0500000US10001,"Kent County, Delaware",62477
0500000US10003,"New Castle County, Delaware",202813
0500000US10005,"Sussex County, Delaware",87305
0500000US11001,"District of Columbia, District of Columbia",281787
0500000US12001,"Alachua County, Florida",96427
0500000US12005,"Bay County, Florida",69337
0500000US12009,"Brevard County, Florida",225682
0500000US12011,"Broward County, Florida",673870
0500000US12015,"Charlotte County, Florida",72671
0500000US12017,"Citrus County, Florida",60541
0500000US12019,"Clay County, Florida",71733
0500000US12021,"Collier County, Florida",134906
0500000US12023,"Columbia County, Florida",24238
0500000US12031,"Duval County, Florida",343467
0500000US12033,"Escambia County, Florida",116814
0500000US12035,"Flagler County, Florida",39281
0500000US12053,"Hernando County, Florida",70713
0500000US12055,"Highlands County, Florida",41116
0500000US12057,"Hillsborough County, Florida",503154
0500000US12061,"Indian River County, Florida",55494
0500000US12069,"Lake County, Florida",126519
0500000US12071,"Lee County, Florida",263694
0500000US12073,"Leon County, Florida",109209
0500000US12081,"Manatee County, Florida",134690
0500000US12083,"Marion County, Florida",125227
0500000US12085,"Martin County, Florida",65101
0500000US12086,"Miami-Dade County, Florida",857712
0500000US12087,"Monroe County, Florida",31391
0500000US12089,"Nassau County, Florida",29674
0500000US12091,"Okaloosa County, Florida",76721
0500000US12095,"Orange County, Florida",457736
