GEO_ID,NAME,S1902_C01_001E
id,Geographic Area Name,Total!!Estimate!!All households
0500000US01003,"Baldwin County, Alabama",71307
0500000US01015,"Calhoun County, Alabama",46087
0500000US01043,"Cullman County, Alabama",30424
0500000US01049,"DeKalb County, Alabama",24720
0500000US01051,"Elmore County, Alabama",28352
0500000US01055,"Etowah County, Alabama",39714
0500000US01069,"Houston County, Alabama",38825
0500000US01073,"Jefferson County, Alabama",261980
0500000US01077,"Lauderdale County, Alabama",38093
0500000US01081,"Lee County, Alabama",57880
0500000US01083,"Limestone County, Alabama",31638
0500000US01089,"Madison County, Alabama",140771
0500000US01095,"Marshall County, Alabama",34872
0500000US01097,"Mobile County, Alabama",153450
0500000US01101,"Montgomery County, Alabama",89415
0500000US01103,"Morgan County, Alabama",45016
0500000US01115,"St. Clair County, Alabama",32267
0500000US01117,"Shelby County, Alabama",75714
0500000US01121,"Talladega County, Alabama",30649
0500000US01125,"Tuscaloosa County, Alabama",68320
0500000US01127,"Walker County, Alabama",25211
0500000US02020,"Anchorage Municipality, Alaska",104683
0500000US02090,"Fairbanks North Star Borough, Alaska",35692
0500000US02170,"Matanuska-Susitna Borough, Alaska",30766
0500000US04001,"Apache County, Arizona",18766
0500000US04003,"Cochise County, Arizona",47653
0500000US04005,"Coconino County, Arizona",46919
0500000US04013,"Maricopa County, Arizona",1458064
0500000US04015,"Mohave County, Arizona",81292
0500000US04017,"Navajo County, Arizona",33236
0500000US04019,"Pima County, Arizona",389737
0500000US04021,"Pinal County, Arizona",132176
0500000US04025,"Yavapai County, Arizona",90584
0500000US04027,"Yuma County, Arizona",70593
0500000US05007,"Benton County, Arkansas",86232
0500000US05031,"Craighead County, Arkansas",38548
0500000US05045,"Faulkner County, Arkansas",42782
0500000US05051,"Garland County, Arkansas",39045
0500000US05069,"Jefferson County, Arkansas",28494
0500000US05085,"Lonoke County, Arkansas",26688
0500000US05119,"Pulaski County, Arkansas",152045
0500000US05125,"Saline County, Arkansas",41587
0500000US05131,"Sebastian County, Arkansas",48779
0500000US05143,"Washington County, Arkansas",81600
0500000US05145,"White County, Arkansas",29146
0500000US06001,"Alameda County, California",563601
0500000US06007,"Butte County, California",85366
0500000US06013,"Contra Costa County, California",387936
0500000US06017,"El Dorado County, California",65804
0500000US06019,"Fresno County, California",297993
0500000US06023,"Humboldt County, California",53195
0500000US06025,"Imperial County, California",43635
0500000US06029,"Kern County, California",261135
0500000US06031,"Kings County, California",41596
0500000US06033,"Lake County, California",27636
0500000US06037,"Los Angeles County, California",3269112
0500000US06039,"Madera County, California",42895
0500000US06041,"Marin County, California",103509
0500000US06045,"Mendocino County, California",33464
0500000US06047,"Merced County, California",79255
0500000US06053,"Monterey County, California",123920
0500000US06055,"Napa County, California",50516
0500000US06057,"Nevada County, California",40186
0500000US06059,"Orange County, California",1018862
0500000US06061,"Placer County, California",136239
0500000US06065,"Riverside County, California",700584
0500000US06067,"Sacramento County, California",523353
0500000US06071,"San Bernardino County, California",617066
0500000US06073,"San Diego County, California",1100858
0500000US06075,"San Francisco County, California",353406
0500000US06077,"San Joaquin County, California",221874
0500000US06079,"San Luis Obispo County, California",102645
0500000US06081,"San Mateo County, California",257473
0500000US06083,"Santa Barbara County, California",142912
0500000US06085,"Santa Clara County, California",622068
0500000US06087,"Santa Cruz County, California",96127
0500000US06089,"Shasta County, California",68542
0500000US06095,"Solano County, California",145313
0500000US06097,"Sonoma County, California",190875
0500000US06099,"Stanislaus County, California",169038
0500000US06101,"Sutter County, California",31634
0500000US06107,"Tulare County, California",132742
0500000US06111,"Ventura County, California",269869
0500000US06113,"Yolo County, California",72228
0500000US06115,"Yuba County, California",25732
0500000US08001,"Adams County, Colorado",159422
0500000US08005,"Arapahoe County, Colorado",232763
0500000US08013,"Boulder County, Colorado",123690
0500000US08031,"Denver County, Colorado",281928
0500000US08035,"Douglas County, Colorado",108135
0500000US08041,"El Paso County, Colorado",245158
0500000US08059,"Jefferson County, Colorado",224502
0500000US08069,"Larimer County, Colorado",125165
0500000US08077,"Mesa County, Colorado",59703
0500000US08101,"Pueblo County, Colorado",63385
0500000US08123,"Weld County, Colorado",96803
0500000US09001,"Fairfield County, Connecticut",338421
0500000US09003,"Hartford County, Connecticut",346525
0500000US09005,"Litchfield County, Connecticut",73572
0500000US09007,"Middlesex County, Connecticut",67106
0500000US09009,"New Haven County, Connecticut",326050
0500000US09011,"New London County, Connecticut",105504
0500000US09013,"Tolland County, Connecticut",53984
0500000US09015,"Windham County, Connecticut",44655
0500000US10001,"Kent County, Delaware",61270
0500000US10003,"New Castle County, Delaware",202204
0500000US10005,"Sussex County, Delaware",86269
0500000US11001,"District of Columbia, District of Columbia",277378
0500000US12001,"Alachua County, Florida",97215
0500000US12005,"Bay County, Florida",66024
0500000US12009,"Brevard County, Florida",225226
0500000US12011,"Broward County, Florida",665192
0500000US12015,"Charlotte County, Florida",75234
0500000US12017,"Citrus County, Florida",60315
0500000US12019,"Clay County, Florida",70307
0500000US12021,"Collier County, Florida",133162
0500000US12023,"Columbia County, Florida",23825
0500000US12031,"Duval County, Florida",340985
0500000US12033,"Escambia County, Florida",115094
0500000US12035,"Flagler County, Florida",36798
0500000US12053,"Hernando County, Florida",70558
0500000US12055,"Highlands County, Florida",39288
0500000US12057,"Hillsborough County, Florida",489603
0500000US12061,"Indian River County, Florida",55618
0500000US12069,"Lake County, Florida",117696
0500000US12071,"Lee County, Florida",263295
0500000US12073,"Leon County, Florida",112145
0500000US12081,"Manatee County, Florida",137695
0500000US12083,"Marion County, Florida",132275
0500000US12085,"Martin County, Florida",62518
0500000US12086,"Miami-Dade County, Florida",843887
0500000US12087,"Monroe County, Florida",28065
0500000US12089,"Nassau County, Florida",28336
0500000US12091,"Okaloosa County, Florida",73277
0500000US12095,"Orange County, Florida",444543
0500000US12097,"Osceola County, Florida",89328
0500000US12099,"Palm Beach County, Florida",538246
0500000US12101,"Pasco County, Florida",186999
0500000US12103,"Pinellas County, Florida",402575
0500000US12105,"Polk County, Florida",218286
0500000US12107,"Putnam County, Florida",26580
0500000US12109,"St. Johns County, Florida",81309
0500000US12111,"St. Lucie County, Florida",108771
0500000US12113,"Santa Rosa County, Florida",56085
0500000US12115,"Sarasota County, Florida",175881
0500000US12117,"Seminole County, Florida",148732
0500000US12119,"Sumter County, Florida",50209
0500000US12127,"Volusia County, Florida",200729
0500000US13013,"Barrow County, Georgia",22508
0500000US13015,"Bartow County, Georgia",37742
0500000US13021,"Bibb County, Georgia",56135
0500000US13031,"Bulloch County, Georgia",25844
0500000US13045,"Carroll County, Georgia",38875
0500000US13047,"Catoosa County, Georgia",23476
0500000US13051,"Chatham County, Georgia",106188
0500000US13057,"Cherokee County, Georgia",81991
0500000US13059,"Clarke County, Georgia",44016
0500000US13063,"Clayton County, Georgia",88538
0500000US13067,"Cobb County, Georgia",271686
0500000US13073,"Columbia County, Georgia",45371
0500000US13077,"Coweta County, Georgia",49546
0500000US13089,"DeKalb County, Georgia",266307
0500000US13095,"Dougherty County, Georgia",35539
0500000US13097,"Douglas County, Georgia",47687
0500000US13113,"Fayette County, Georgia",38945
0500000US13115,"Floyd County, Georgia",36177
0500000US13117,"Forsyth County, Georgia",66429
0500000US13121,"Fulton County, Georgia",381990
0500000US13127,"Glynn County, Georgia",32361
0500000US13135,"Gwinnett County, Georgia",278652
0500000US13139,"Hall County, Georgia",63383
0500000US13151,"Henry County, Georgia",68524
0500000US13153,"Houston County, Georgia",53519
0500000US13179,"Liberty County, Georgia",22096
0500000US13185,"Lowndes County, Georgia",38547
