GEO_ID,NAME,S1902_C01_001E
id,Geographic Area Name,Total!!Estimate!!All households
0500000US01003,"Baldwin County, Alabama",74460
0500000US01015,"Calhoun County, Alabama",44722
0500000US01043,"Cullman County, Alabama",31954
0500000US01049,"DeKalb County, Alabama",27139
0500000US01051,"Elmore County, Alabama",28469
0500000US01055,"Etowah County, Alabama",40443
0500000US01069,"Houston County, Alabama",39118
0500000US01073,"Jefferson County, Alabama",255059
0500000US01077,"Lauderdale County, Alabama",39331
0500000US01081,"Lee County, Alabama",56274
0500000US01083,"Limestone County, Alabama",32648
0500000US01089,"Madison County, Alabama",133173
0500000US01095,"Marshall County, Alabama",33750
0500000US01097,"Mobile County, Alabama",157783
0500000US01101,"Montgomery County, Alabama",86531
0500000US01103,"Morgan County, Alabama",45310
0500000US01115,"St. Clair County, Alabama",33274
0500000US01117,"Shelby County, Alabama",74648
0500000US01121,"Talladega County, Alabama",32044
0500000US01125,"Tuscaloosa County, Alabama",67669
0500000US01127,"Walker County, Alabama",26204
0500000US02020,"Anchorage Municipality, Alaska",106651
0500000US02090,"Fairbanks North Star Borough, Alaska",37016
0500000US02170,"Matanuska-Susitna Borough, Alaska",33328
0500000US04001,"Apache County, Arizona",19881
0500000US04003,"Cochise County, Arizona",47402
0500000US04005,"Coconino County, Arizona",44826
0500000US04013,"Maricopa County, Arizona",1407161
0500000US04015,"Mohave County, Arizona",78977
0500000US04017,"Navajo County, Arizona",33305
0500000US04019,"Pima County, Arizona",379801
0500000US04021,"Pinal County, Arizona",122782
0500000US04025,"Yavapai County, Arizona",91407
0500000US04027,"Yuma County, Arizona",71490
0500000US05007,"Benton County, Arkansas",82695
0500000US05031,"Craighead County, Arkansas",37957
0500000US05045,"Faulkner County, Arkansas",43249
0500000US05051,"Garland County, Arkansas",38087
0500000US05069,"Jefferson County, Arkansas",28905
0500000US05085,"Lonoke County, Arkansas",25583
0500000US05119,"Pulaski County, Arkansas",152393
0500000US05125,"Saline County, Arkansas",42447
0500000US05131,"Sebastian County, Arkansas",47119
0500000US05143,"Washington County, Arkansas",80228
0500000US05145,"White County, Arkansas",30359
0500000US06001,"Alameda County, California",545559
0500000US06007,"Butte County, California",83634
0500000US06013,"Contra Costa County, California",376326
0500000US06017,"El Dorado County, California",68111
0500000US06019,"Fresno County, California",286255
0500000US06023,"Humboldt County, California",51183
0500000US06025,"Imperial County, California",48790
0500000US06029,"Kern County, California",254761
0500000US06031,"Kings County, California",40800
0500000US06033,"Lake County, California",28885
0500000US06037,"Los Angeles County, California",3201795
0500000US06039,"Madera County, California",40786
0500000US06041,"Marin County, California",101723
0500000US06045,"Mendocino County, California",32497
0500000US06047,"Merced County, California",74833
0500000US06053,"Monterey County, California",123757
0500000US06055,"Napa County, California",49933
0500000US06057,"Nevada County, California",41171
0500000US06059,"Orange County, California",992855
0500000US06061,"Placer County, California",133290
0500000US06065,"Riverside County, California",684794
0500000US06067,"Sacramento County, California",510517
0500000US06071,"San Bernardino County, California",609702
0500000US06073,"San Diego County, California",1061056
0500000US06075,"San Francisco County, California",342706
0500000US06077,"San Joaquin County, California",213749
0500000US06079,"San Luis Obispo County, California",101179
0500000US06081,"San Mateo County, California",256526
0500000US06083,"Santa Barbara County, California",140889
0500000US06085,"Santa Clara County, California",606459
0500000US06087,"Santa Cruz County, California",94775
0500000US06089,"Shasta County, California",69102
0500000US06095,"Solano County, California",139992
0500000US06097,"Sonoma County, California",180703
0500000US06099,"Stanislaus County, California",167860
0500000US06101,"Sutter County, California",31673
0500000US06107,"Tulare County, California",131890
0500000US06111,"Ventura County, California",265492
0500000US06113,"Yolo County, California",70101
0500000US06115,"Yuba County, California",23745
0500000US08001,"Adams County, Colorado",151973
0500000US08005,"Arapahoe County, Colorado",224082
0500000US08013,"Boulder County, Colorado",118559
0500000US08031,"Denver County, Colorado",266624
0500000US08035,"Douglas County, Colorado",104243
0500000US08041,"El Paso County, Colorado",237729
0500000US08059,"Jefferson County, Colorado",217829
0500000US08069,"Larimer County, Colorado",121911
0500000US08077,"Mesa County, Colorado",59770
0500000US08101,"Pueblo County, Colorado",62181
0500000US08123,"Weld County, Colorado",90453
0500000US09001,"Fairfield County, Connecticut",331530
0500000US09003,"Hartford County, Connecticut",347164
0500000US09005,"Litchfield County, Connecticut",75386
0500000US09007,"Middlesex County, Connecticut",64073
0500000US09009,"New Haven County, Connecticut",326523
0500000US09011,"New London County, Connecticut",108239
0500000US09013,"Tolland County, Connecticut",53696
0500000US09015,"Windham County, Connecticut",45032
0500000US10001,"Kent County, Delaware",56799
0500000US10003,"New Castle County, Delaware",202188
0500000US10005,"Sussex County, Delaware",74205
0500000US11001,"District of Columbia, District of Columbia",268670
0500000US12001,"Alachua County, Florida",96472
0500000US12005,"Bay County, Florida",69884
0500000US12009,"Brevard County, Florida",216180
0500000US12011,"Broward County, Florida",668281
0500000US12015,"Charlotte County, Florida",68252
0500000US12017,"Citrus County, Florida",60923
0500000US12019,"Clay County, Florida",66715
0500000US12021,"Collier County, Florida",123949
0500000US12023,"Columbia County, Florida",23883
0500000US12031,"Duval County, Florida",329530
0500000US12033,"Escambia County, Florida",107490
0500000US12035,"Flagler County, Florida",34434
0500000US12053,"Hernando County, Florida",71067
0500000US12055,"Highlands County, Florida",40123
0500000US12057,"Hillsborough County, Florida",464379
0500000US12061,"Indian River County, Florida",57515
0500000US12069,"Lake County, Florida",113539
0500000US12071,"Lee County, Florida",238389
0500000US12073,"Leon County, Florida",110069
0500000US12081,"Manatee County, Florida",134359
0500000US12083,"Marion County, Florida",133433
0500000US12085,"Martin County, Florida",59005
0500000US12086,"Miami-Dade County, Florida",818297
0500000US12087,"Monroe County, Florida",24735
0500000US12089,"Nassau County, Florida",27538
0500000US12091,"Okaloosa County, Florida",70573
0500000US12095,"Orange County, Florida",415350
0500000US12097,"Osceola County, Florida",92485
0500000US12099,"Palm Beach County, Florida",521589
0500000US12101,"Pasco County, Florida",182321
0500000US12103,"Pinellas County, Florida",392267
0500000US12105,"Polk County, Florida",217648
0500000US12107,"Putnam County, Florida",28353
0500000US12109,"St. Johns County, Florida",77053
0500000US12111,"St. Lucie County, Florida",105103
0500000US12113,"Santa Rosa County, Florida",57853
0500000US12115,"Sarasota County, Florida",173368
0500000US12117,"Seminole County, Florida",144095
0500000US12119,"Sumter County, Florida",44917
0500000US12127,"Volusia County, Florida",190074
0500000US13013,"Barrow County, Georgia",23270
0500000US13015,"Bartow County, Georgia",33661
0500000US13021,"Bibb County, Georgia",56645
0500000US13031,"Bulloch County, Georgia",25535
0500000US13045,"Carroll County, Georgia",38674
0500000US13051,"Chatham County, Georgia",100091
0500000US13057,"Cherokee County, Georgia",77388
0500000US13059,"Clarke County, Georgia",40177
0500000US13063,"Clayton County, Georgia",86747
0500000US13067,"Cobb County, Georgia",260577
0500000US13073,"Columbia County, Georgia",47312
0500000US13077,"Coweta County, Georgia",47424
0500000US13089,"DeKalb County, Georgia",262162
0500000US13095,"Dougherty County, Georgia",36123
0500000US13097,"Douglas County, Georgia",47239
0500000US13113,"Fayette County, Georgia",38450
0500000US13115,"Floyd County, Georgia",34919
0500000US13117,"Forsyth County, Georgia",48268
0500000US13121,"Fulton County, Georgia",367228
0500000US13127,"Glynn County, Georgia",31081
0500000US13135,"Gwinnett County, Georgia",264233
0500000US13139,"Hall County, Georgia",60043
0500000US13151,"Henry County, Georgia",70805
0500000US13153,"Houston County, Georgia",52603
0500000US13179,"Liberty County, Georgia",24578
0500000US13185,"Lowndes County, Georgia",38178
0500000US13215,"Muscogee County, Georgia",70724
0500000US13217,"Newton County, Georgia",33298
0500000US13223,"Paulding County, Georgia",48994
0500000US13245,"Richmond County, Georgia",71262
0500000US13247,"Rockdale County, Georgia",28789
0500000US13285,"Troup County, Georgia",24744
0500000US13295,"Walker County, Georgia",27224
0500000US13297,"Walton County, Georgia",28979
0500000US13313,"Whitfield County, Georgia",34637
0500000US15001,"Hawaii County, Hawaii",64605
0500000US15003,"Honolulu County, Hawaii",308495
0500000US15007,"Kauai County, Hawaii",22874
0500000US15009,"Maui County, Hawaii",52549
0500000US16001,"Ada County, Idaho",151755
0500000US16005,"Bannock County, Idaho",30177
0500000US16019,"Bonneville County, Idaho",36538
0500000US16027,"Canyon County, Idaho",63358
0500000US16055,"Kootenai County, Idaho",56226
0500000US16083,"Twin Falls County, Idaho",28196
0500000US17001,"Adams County, Illinois",25964
0500000US17019,"Champaign County, Illinois",78993
0500000US17031,"Cook County, Illinois",1916910
0500000US17037,"DeKalb County, Illinois",36774
0500000US17043,"DuPage County, Illinois",335379
0500000US17089,"Kane County, Illinois",168340
0500000US17091,"Kankakee County, Illinois",41149
0500000US17093,"Kendall County, Illinois",37049
0500000US17097,"Lake County, Illinois",240051
0500000US17099,"LaSalle County, Illinois",43854
0500000US17111,"McHenry County, Illinois",108186
0500000US17113,"McLean County, Illinois",63240
0500000US17115,"Macon County, Illinois",43604
0500000US17119,"Madison County, Illinois",106535
0500000US17143,"Peoria County, Illinois",75933
0500000US17161,"Rock Island County, Illinois",61259
0500000US17163,"St. Clair County, Illinois",101789
0500000US17167,"Sangamon County, Illinois",82704
0500000US17179,"Tazewell County, Illinois",54647
0500000US17183,"Vermilion County, Illinois",31414
0500000US17197,"Will County, Illinois",220536
0500000US17199,"Williamson County, Illinois",26648
0500000US17201,"Winnebago County, Illinois",112221
0500000US18003,"Allen County, Indiana",136723
0500000US18005,"Bartholomew County, Indiana",29086
0500000US18019,"Clark County, Indiana",42156
0500000US18035,"Delaware County, Indiana",45477
0500000US18039,"Elkhart County, Indiana",70795
0500000US18043,"Floyd County, Indiana",28934
0500000US18053,"Grant County, Indiana",27758
0500000US18057,"Hamilton County, Indiana",103706
0500000US18059,"Hancock County, Indiana",26130
0500000US18063,"Hendricks County, Indiana",52921
0500000US18067,"Howard County, Indiana",34259
0500000US18081,"Johnson County, Indiana",51512
0500000US18085,"Kosciusko County, Indiana",28664
0500000US18089,"Lake County, Indiana",181198
0500000US18091,"LaPorte County, Indiana",42075
0500000US18095,"Madison County, Indiana",49713
0500000US18097,"Marion County, Indiana",358552
0500000US18105,"Monroe County, Indiana",53620
0500000US18109,"Morgan County, Indiana",24900
0500000US18127,"Porter County, Indiana",61046
0500000US18141,"St. Joseph County, Indiana",102401
0500000US18157,"Tippecanoe County, Indiana",66480
0500000US18163,"Vanderburgh County, Indiana",74063
0500000US18167,"Vigo County, Indiana",37764
0500000US18177,"Wayne County, Indiana",28274
0500000US19013,"Black Hawk County, Iowa",51917
0500000US19049,"Dallas County, Iowa",26131
0500000US19061,"Dubuque County, Iowa",37646
0500000US19103,"Johnson County, Iowa",53910
0500000US19113,"Linn County, Iowa",86507
0500000US19153,"Polk County, Iowa",168589
0500000US19155,"Pottawattamie County, Iowa",36091
0500000US19163,"Scott County, Iowa",66355
0500000US19169,"Story County, Iowa",34794
0500000US19193,"Woodbury County, Iowa",39265
0500000US20015,"Butler County, Kansas",23681
0500000US20045,"Douglas County, Kansas",43371
0500000US20091,"Johnson County, Kansas",216252
0500000US20103,"Leavenworth County, Kansas",25192
0500000US20161,"Riley County, Kansas",25207
0500000US20173,"Sedgwick County, Kansas",191715
0500000US20177,"Shawnee County, Kansas",71584
0500000US20209,"Wyandotte County, Kansas",56908
0500000US21015,"Boone County, Kentucky",42281
0500000US21029,"Bullitt County, Kentucky",27773
0500000US21037,"Campbell County, Kentucky",34466
0500000US21047,"Christian County, Kentucky",25793
0500000US21059,"Daviess County, Kentucky",35484
0500000US21067,"Fayette County, Kentucky",122746
0500000US21093,"Hardin County, Kentucky",38447
0500000US21111,"Jefferson County, Kentucky",298236
0500000US21117,"Kenton County, Kentucky",60523
0500000US21145,"McCracken County, Kentucky",26329
0500000US21151,"Madison County, Kentucky",31221
0500000US21195,"Pike County, Kentucky",26354
0500000US21227,"Warren County, Kentucky",43892
0500000US22005,"Ascension Parish, Louisiana",37217
0500000US22015,"Bossier Parish, Louisiana",44584
0500000US22017,"Caddo Parish, Louisiana",99541
0500000US22019,"Calcasieu Parish, Louisiana",72417
0500000US22033,"East Baton Rouge Parish, Louisiana",167457
0500000US22045,"Iberia Parish, Louisiana",26740
0500000US22051,"Jefferson Parish, Louisiana",166626
0500000US22055,"Lafayette Parish, Louisiana",86746
0500000US22057,"Lafourche Parish, Louisiana",34670
0500000US22063,"Livingston Parish, Louisiana",46576
0500000US22071,"Orleans Parish, Louisiana",147786
0500000US22073,"Ouachita Parish, Louisiana",58259
0500000US22079,"Rapides Parish, Louisiana",45309
0500000US22097,"St. Landry Parish, Louisiana",31238
0500000US22103,"St. Tammany Parish, Louisiana",86530
0500000US22105,"Tangipahoa Parish, Louisiana",44655
0500000US22109,"Terrebonne Parish, Louisiana",40898
0500000US23001,"Androscoggin County, Maine",44655
0500000US23003,"Aroostook County, Maine",30404
0500000US23005,"Cumberland County, Maine",116003
0500000US23011,"Kennebec County, Maine",51808
0500000US23019,"Penobscot County, Maine",62303
0500000US23031,"York County, Maine",80045
0500000US24001,"Allegany County, Maryland",28488
0500000US24003,"Anne Arundel County, Maryland",199848
0500000US24005,"Baltimore County, Maryland",311397
0500000US24009,"Calvert County, Maryland",30113
0500000US24013,"Carroll County, Maryland",59250
0500000US24015,"Cecil County, Maryland",35737
0500000US24017,"Charles County, Maryland",51832
0500000US24021,"Frederick County, Maryland",87441
0500000US24025,"Harford County, Maryland",88842
0500000US24027,"Howard County, Maryland",106478
0500000US24031,"Montgomery County, Maryland",359496
0500000US24033,"Prince George's County, Maryland",301754
0500000US24037,"St. Mary's County, Maryland",36967
0500000US24043,"Washington County, Maryland",56332
0500000US24045,"Wicomico County, Maryland",35881
0500000US24510,"Baltimore city, Maryland",239251
0500000US25001,"Barnstable County, Massachusetts",94569
0500000US25003,"Berkshire County, Massachusetts",55230
0500000US25005,"Bristol County, Massachusetts",209256
0500000US25009,"Essex County, Massachusetts",288403
0500000US25011,"Franklin County, Massachusetts",29944
0500000US25013,"Hampden County, Massachusetts",176575
0500000US25015,"Hampshire County, Massachusetts",58971
0500000US25017,"Middlesex County, Massachusetts",582946
0500000US25021,"Norfolk County, Massachusetts",257098
0500000US25023,"Plymouth County, Massachusetts",179609
0500000US25025,"Suffolk County, Massachusetts",292390
0500000US25027,"Worcester County, Massachusetts",296948
0500000US26005,"Allegan County, Michigan",40921
0500000US26017,"Bay County, Michigan",43084
0500000US26021,"Berrien County, Michigan",56676
0500000US26025,"Calhoun County, Michigan",51814
0500000US26037,"Clinton County, Michigan",28523
0500000US26045,"Eaton County, Michigan",43488
0500000US26049,"Genesee County, Michigan",163473
0500000US26055,"Grand Traverse County, Michigan",33399
0500000US26065,"Ingham County, Michigan",107527
0500000US26073,"Isabella County, Michigan",23607
0500000US26075,"Jackson County, Michigan",58736
0500000US26077,"Kalamazoo County, Michigan",97368
0500000US26081,"Kent County, Michigan",229851
0500000US26087,"Lapeer County, Michigan",32437
0500000US26091,"Lenawee County, Michigan",38055
0500000US26093,"Livingston County, Michigan",65833
0500000US26099,"Macomb County, Michigan",328216
0500000US26103,"Marquette County, Michigan",26582
0500000US26111,"Midland County, Michigan",33679
0500000US26115,"Monroe County, Michigan",57491
0500000US26121,"Muskegon County, Michigan",62839
