GEO_ID,NAME,S1902_C01_001E
id,Geographic Area Name,Total!!Estimate!!All households
0500000US12127,"Volusia County, Florida",197599
0500000US13013,"Barrow County, Georgia",24234
0500000US13015,"Bartow County, Georgia",36079
0500000US13021,"Bibb County, Georgia",56034
0500000US13031,"Bulloch County, Georgia",26718
0500000US13045,"Carroll County, Georgia",39890
0500000US13047,"Catoosa County, Georgia",22741
0500000US13051,"Chatham County, Georgia",104634
0500000US13057,"Cherokee County, Georgia",75774
0500000US13059,"Clarke County, Georgia",40788
0500000US13063,"Clayton County, Georgia",86800
0500000US13067,"Cobb County, Georgia",265001
0500000US13073,"Columbia County, Georgia",44096
0500000US13077,"Coweta County, Georgia",47878
0500000US13089,"DeKalb County, Georgia",261147
0500000US13095,"Dougherty County, Georgia",35636
0500000US13097,"Douglas County, Georgia",45541
0500000US13113,"Fayette County, Georgia",37101
0500000US13115,"Floyd County, Georgia",34373
0500000US13117,"Forsyth County, Georgia",58456
0500000US13121,"Fulton County, Georgia",374091
0500000US13127,"Glynn County, Georgia",31621
0500000US13135,"Gwinnett County, Georgia",270550
0500000US13139,"Hall County, Georgia",60500
0500000US13151,"Henry County, Georgia",69114
0500000US13153,"Houston County, Georgia",52832
0500000US13179,"Liberty County, Georgia",22518
0500000US13185,"Lowndes County, Georgia",40155
0500000US13215,"Muscogee County, Georgia",71719
0500000US13217,"Newton County, Georgia",34195
0500000US13223,"Paulding County, Georgia",47476
0500000US13245,"Richmond County, Georgia",73031
0500000US13247,"Rockdale County, Georgia",29427
0500000US13285,"Troup County, Georgia",24539
0500000US13295,"Walker County, Georgia",25781
0500000US13297,"Walton County, Georgia",29455
0500000US13313,"Whitfield County, Georgia",33891
0500000US15001,"Hawaii County, Hawaii",64925
0500000US15003,"Honolulu County, Hawaii",308072
0500000US15007,"Kauai County, Hawaii",22569
0500000US15009,"Maui County, Hawaii",52120
0500000US16001,"Ada County, Idaho",154725
0500000US16005,"Bannock County, Idaho",30593
0500000US16019,"Bonneville County, Idaho",36076
0500000US16027,"Canyon County, Idaho",63789
0500000US16055,"Kootenai County, Idaho",55848
0500000US16083,"Twin Falls County, Idaho",27749
0500000US17001,"Adams County, Illinois",26675
0500000US17019,"Champaign County, Illinois",80050
0500000US17031,"Cook County, Illinois",1936001
0500000US17037,"DeKalb County, Illinois",38193
0500000US17043,"DuPage County, Illinois",333950
0500000US17089,"Kane County, Illinois",170806
0500000US17091,"Kankakee County, Illinois",41267
0500000US17093,"Kendall County, Illinois",39512
0500000US17097,"Lake County, Illinois",241819
0500000US17099,"LaSalle County, Illinois",44793
0500000US17111,"McHenry County, Illinois",108969
0500000US17113,"McLean County, Illinois",65744
0500000US17115,"Macon County, Illinois",46336
0500000US17119,"Madison County, Illinois",107488
0500000US17143,"Peoria County, Illinois",76268
0500000US17161,"Rock Island County, Illinois",61513
0500000US17163,"St. Clair County, Illinois",100031
0500000US17167,"Sangamon County, Illinois",82223
0500000US17179,"Tazewell County, Illinois",54359
0500000US17183,"Vermilion County, Illinois",31714
0500000US17197,"Will County, Illinois",220938
0500000US17199,"Williamson County, Illinois",26863
0500000US17201,"Winnebago County, Illinois",112942
