GEO_ID,NAME,S1902_C01_001E
id,Geographic Area Name,Total!!Estimate!!All households
0500000US01003,"Baldwin County, Alabama",70259
0500000US01015,"Calhoun County, Alabama",43851
0500000US01043,"Cullman County, Alabama",32225
0500000US01049,"DeKalb County, Alabama",22754
0500000US01051,"Elmore County, Alabama",28292
0500000US01055,"Etowah County, Alabama",40135
0500000US01069,"Houston County, Alabama",40448
0500000US01073,"Jefferson County, Alabama",257398
0500000US01077,"Lauderdale County, Alabama",39433
0500000US01081,"Lee County, Alabama",56840
0500000US01083,"Limestone County, Alabama",32879
0500000US01089,"Madison County, Alabama",137072
0500000US01095,"Marshall County, Alabama",33738
0500000US01097,"Mobile County, Alabama",148025
0500000US01101,"Montgomery County, Alabama",87996
0500000US01103,"Morgan County, Alabama",46779
0500000US01115,"St. Clair County, Alabama",31769
0500000US01117,"Shelby County, Alabama",73694
0500000US01121,"Talladega County, Alabama",31598
0500000US01125,"Tuscaloosa County, Alabama",69291
0500000US01127,"Walker County, Alabama",24963
0500000US02020,"Anchorage Municipality, Alaska",103445
0500000US02090,"Fairbanks North Star Borough, Alaska",34056
0500000US02170,"Matanuska-Susitna Borough, Alaska",30272
0500000US04001,"Apache County, Arizona",17948
0500000US04003,"Cochise County, Arizona",48368
0500000US04005,"Coconino County, Arizona",49002
0500000US04013,"Maricopa County, Arizona",1425393
0500000US04015,"Mohave County, Arizona",81257
0500000US04017,"Navajo County, Arizona",34147
0500000US04019,"Pima County, Arizona",391975
0500000US04021,"Pinal County, Arizona",128036
0500000US04025,"Yavapai County, Arizona",91064
0500000US04027,"Yuma County, Arizona",69744
0500000US05007,"Benton County, Arkansas",82644
0500000US05031,"Craighead County, Arkansas",37827
0500000US05045,"Faulkner County, Arkansas",42636
0500000US05051,"Garland County, Arkansas",41865
0500000US05069,"Jefferson County, Arkansas",27960
0500000US05085,"Lonoke County, Arkansas",24779
0500000US05119,"Pulaski County, Arkansas",148694
0500000US05125,"Saline County, Arkansas",41004
0500000US05131,"Sebastian County, Arkansas",50095
0500000US05143,"Washington County, Arkansas",81198
0500000US05145,"White County, Arkansas",29038
0500000US06001,"Alameda County, California",555909
0500000US06007,"Butte County, California",85158
0500000US06013,"Contra Costa County, California",382356
0500000US06017,"El Dorado County, California",66751
0500000US06019,"Fresno County, California",293517
0500000US06023,"Humboldt County, California",53191
0500000US06025,"Imperial County, California",47430
0500000US06029,"Kern County, California",257183
0500000US06031,"Kings County, California",41813
0500000US06033,"Lake County, California",26194
0500000US06037,"Los Angeles County, California",3247705
0500000US06039,"Madera County, California",44549
0500000US06041,"Marin County, California",102847
0500000US06045,"Mendocino County, California",33609
0500000US06047,"Merced County, California",77651
0500000US06053,"Monterey County, California",125553
0500000US06055,"Napa County, California",47482
0500000US06057,"Nevada County, California",39115
0500000US06059,"Orange County, California",1003790
0500000US06061,"Placer County, California",134284
0500000US06065,"Riverside County, California",693585
0500000US06067,"Sacramento County, California",520580
0500000US06071,"San Bernardino County, California",604090
0500000US06073,"San Diego County, California",1093386
0500000US06075,"San Francisco County, California",354651
0500000US06077,"San Joaquin County, California",216309
0500000US06079,"San Luis Obispo County, California",104669
0500000US06081,"San Mateo County, California",258791
0500000US06083,"Santa Barbara County, California",140665
0500000US06085,"Santa Clara County, California",619337
0500000US06087,"Santa Cruz County, California",93982
0500000US06089,"Shasta County, California",69729
0500000US06095,"Solano County, California",142577
0500000US06097,"Sonoma County, California",189087
0500000US06099,"Stanislaus County, California",167411
0500000US06101,"Sutter County, California",31753
0500000US06107,"Tulare County, California",133409
0500000US06111,"Ventura County, California",265788
0500000US06113,"Yolo County, California",71024
0500000US06115,"Yuba County, California",25053
0500000US08001,"Adams County, Colorado",157392
0500000US08005,"Arapahoe County, Colorado",230276
0500000US08013,"Boulder County, Colorado",123498
0500000US08031,"Denver County, Colorado",273050
0500000US08035,"Douglas County, Colorado",106874
0500000US08041,"El Paso County, Colorado",240131
0500000US08059,"Jefferson County, Colorado",221172
0500000US08069,"Larimer County, Colorado",123877
0500000US08077,"Mesa County, Colorado",58466
0500000US08101,"Pueblo County, Colorado",62604
0500000US08123,"Weld County, Colorado",92426
0500000US09001,"Fairfield County, Connecticut",328062
0500000US09003,"Hartford County, Connecticut",345615
0500000US09005,"Litchfield County, Connecticut",75029
0500000US09007,"Middlesex County, Connecticut",65304
0500000US09009,"New Haven County, Connecticut",321048
0500000US09011,"New London County, Connecticut",106886
0500000US09013,"Tolland County, Connecticut",53396
0500000US09015,"Windham County, Connecticut",44520
0500000US10001,"Kent County, Delaware",62053
0500000US10003,"New Castle County, Delaware",199167
0500000US10005,"Sussex County, Delaware",77851
0500000US11001,"District of Columbia, District of Columbia",271651
0500000US12001,"Alachua County, Florida",98247
0500000US12005,"Bay County, Florida",63558
0500000US12009,"Brevard County, Florida",218325
