,CountyID,AverageSalesPrice2019  ,AverageSalesPrice2020,Population 2019,Violent Crime Total 2019,Property Crime Total 2019,Population 2020,Violent Crime Total 2020,Property Crime Total 2020,Income_2019,Income_2020
863,8031,423350,438233,728941.0,5459.0,27288.0,737709.0,6329.0,34294.0,83192.0,85411.0
865,53031,427167,490700,9780.0,41.0,172.0,9914.0,19.0,206.0,53765.0,56585.0
867,8015,428883,406900,6061.0,5.0,184.0,6183.0,10.0,220.0,48991.0,51361.0
868,51061,429558,442933,9977.0,14.0,109.0,10073.0,11.0,135.0,71927.0,74801.0
871,12099,435400,505467,112798.0,859.0,4231.0,113268.0,863.0,3862.0,85213.0,87478.0
873,30029,440267,498267,24473.0,102.0,821.0,25125.0,78.0,597.0,50144.0,52740.0
874,8005,443733,459400,48831.0,43.0,1372.0,112104.0,144.0,1979.0,63741.0,66691.0
875,41027,444692,453200,7876.0,13.0,229.0,7863.0,12.0,277.0,55609.0,60225.0
878,21111,447067,479433,28015.0,31.0,596.0,27700.0,29.0,706.0,54293.0,57863.0
879,48029,447242,470167,1559166.0,11046.0,67422.0,1573189.0,11569.0,57057.0,46569.0,48569.0
880,55133,447375,429067,72718.0,67.0,690.0,72421.0,123.0,595.0,73883.0,75958.0
882,48121,448667,456100,141492.0,331.0,2665.0,110800.0,324.0,1949.0,60535.0,63283.0
883,27053,450458,451467,431016.0,3990.0,19469.0,435116.0,5025.0,19833.0,76131.0,79183.0
884,48085,455467,486400,291611.0,431.0,4908.0,290786.0,452.0,4784.0,69451.0,71246.0
885,13051,456242,449200,24917.0,45.0,628.0,26634.0,36.0,537.0,48545.0,51805.0
886,9001,456658,472150,144908.0,843.0,2465.0,144350.0,829.0,2514.0,118515.0,120244.0
887,53057,457817,452150,36274.0,55.0,1140.0,36513.0,70.0,1109.0,53221.0,57315.0
888,33015,462950,476933,21951.0,28.0,359.0,22032.0,25.0,294.0,78153.0,80220.0
889,25021,466217,470667,94113.0,375.0,1146.0,94519.0,303.0,1146.0,93470.0,98019.0
891,10005,475167,596033,11592.0,84.0,585.0,11994.0,78.0,494.0,52935.0,54352.0
892,41067,476825,501900,110549.0,274.0,2164.0,111146.0,257.0,2147.0,63425.0,66831.0
893,8014,477567,461667,70798.0,75.0,2046.0,71795.0,76.0,2145.0,65397.0,67495.0
894,16001,478075,535933,231314.0,649.0,3653.0,231223.0,677.0,3793.0,54506.0,57215.0
897,27163,480925,430700,72527.0,45.0,1264.0,74110.0,71.0,1522.0,69495.0,72273.0
899,49035,486575,502750,202426.0,1442.0,11452.0,202187.0,1865.0,14865.0,55481.0,59077.0
900,8039,487850,524033,1424.0,2.0,15.0,1591.0,1.0,15.0,60702.0,63970.0
901,20091,488275,504267,141371.0,290.0,1604.0,198036.0,411.0,3906.0,78670.0,80681.0
902,53011,488900,509733,185034.0,889.0,5998.0,186440.0,884.0,6709.0,54930.0,57863.0
903,39049,489983,564700,906120.0,4561.0,29974.0,911383.0,5064.0,28530.0,51467.0,55294.0
905,4005,502858,548567,75013.0,367.0,2371.0,7546.0,97.0,267.0,48837.0,53036.0
906,8107,503308,544533,1992.0,1.0,30.0,13345.0,20.0,176.0,82153.0,85836.0
907,6051,506508,481333,8114.0,42.0,131.0,8236.0,21.0,96.0,49356.0,54586.0
908,6077,507592,508150,313604.0,4380.0,12367.0,314981.0,4023.0,9391.0,45075.0,51816.0
911,12103,522725,434600,267696.0,1594.0,8592.0,267690.0,1772.0,6841.0,56002.0,59178.0
912,53053,523400,541550,218650.0,1848.0,11415.0,220123.0,1856.0,12123.0,52496.0,56532.0
913,12021,526142,496100,22369.0,11.0,323.0,22388.0,21.0,276.0,103205.0,103865.0
914,13089,535450,572033,54734.0,212.0,1338.0,56248.0,222.0,1412.0,52950.0,56428.0
916,51107,541683,563300,55461.0,102.0,570.0,55070.0,122.0,535.0,80535.0,84374.0
918,1073,543808,561867,85670.0,114.0,1922.0,3660.0,6.0,20.0,56599.0,58424.0
920,6067,547900,551250,513934.0,3223.0,16354.0,519050.0,3547.0,14248.0,53278.0,58307.0
921,25009,549817,535133,94449.0,465.0,1347.0,94223.0,418.0,910.0,68854.0,74519.0
922,34027,553017,531000,19153.0,41.0,170.0,19337.0,30.0,141.0,99140.0,102227.0
923,49049,556367,541100,117189.0,135.0,1767.0,98902.0,106.0,2033.0,43611.0,46465.0
924,34029,562342,545400,18684.0,15.0,116.0,18842.0,25.0,116.0,53517.0,57344.0
925,36061,566125,571200,8379043.0,47821.0,122299.0,8300377.0,47959.0,129361.0,187213.0,191220.0
927,6065,571525,589133,333260.0,1686.0,9790.0,334370.0,1491.0,9980.0,41385.0,45834.0
928,6069,580017,566800,40399.0,114.0,311.0,41438.0,131.0,393.0,52806.0,60807.0
929,41005,591133,655567,39888.0,24.0,481.0,40171.0,27.0,659.0,61375.0,64791.0
930,12115,596558,568700,70181.0,95.0,967.0,72389.0,117.0,743.0,69004.0,70884.0
931,53061,597883,646550,112302.0,341.0,3991.0,112439.0,379.0,3654.0,57900.0,62267.0
932,8041,598767,726567,479648.0,2806.0,17587.0,485083.0,2896.0,16394.0,50845.0,54151.0
933,48453,601233,570467,986062.0,3953.0,36588.0,1000276.0,4671.0,36322.0,71633.0,74032.0
934,8035,617417,612467,67208.0,30.0,962.0,71150.0,45.0,1183.0,76408.0,78980.0
935,6095,619567,626733,122657.0,1037.0,4941.0,122326.0,1212.0,4078.0,51889.0,58688.0
937,12087,629375,682000,24554.0,96.0,734.0,24060.0,106.0,450.0,104370.0,106583.0
938,6071,633942,669500,216715.0,2858.0,9081.0,216553.0,666.0,2504.0,40537.0,44831.0
939,25025,639817,667300,53654.0,173.0,653.0,697323.0,4354.0,13015.0,84307.0,90571.0
940,8059,640708,687300,122312.0,266.0,3642.0,159719.0,903.0,8050.0,66183.0,68829.0
941,6057,640725,673300,16611.0,31.0,114.0,16800.0,20.0,109.0,60689.0,64876.0
942,12086,646225,678467,480505.0,2850.0,17624.0,476102.0,2645.0,13092.0,54316.0,57213.0
943,12081,660950,622733,58782.0,360.0,1474.0,60688.0,306.0,1322.0,50108.0,52395.0
944,6113,666100,679150,69767.0,107.0,2190.0,69853.0,98.0,2452.0,54398.0,58391.0
945,6055,675683,644800,79526.0,280.0,1232.0,78237.0,267.0,1320.0,73886.0,82408.0
946,6017,677958,673433,22116.0,111.0,449.0,22286.0,111.0,427.0,68125.0,72662.0
947,34039,681192,685967,128753.0,926.0,3898.0,129518.0,774.0,2897.0,68867.0,72543.0
949,8045,682767,782600,10027.0,27.0,469.0,9976.0,39.0,382.0,60376.0,62581.0
950,47187,686125,720333,83517.0,138.0,926.0,85722.0,195.0,792.0,95520.0,94748.0
951,6079,695425,715500,47735.0,192.0,1738.0,47722.0,207.0,1620.0,58693.0,62342.0
953,34017,718617,709833,266508.0,1393.0,5074.0,263273.0,1167.0,3940.0,67570.0,71682.0
954,34021,721542,631900,83457.0,937.0,1748.0,82909.0,969.0,1733.0,70675.0,74218.0
955,12011,721917,791133,184765.0,1098.0,9082.0,184347.0,1158.0,7662.0,52864.0,55908.0
956,8013,725458,757700,108519.0,278.0,3284.0,106598.0,343.0,4019.0,77305.0,79649.0
957,48439,733858,796833,915237.0,4068.0,24605.0,929509.0,5029.0,25405.0,53375.0,55615.0
958,48201,749875,652667,2355606.0,25257.0,101750.0,2346155.0,29474.0,98043.0,59207.0,60183.0
959,45019,750325,789200,138254.0,516.0,3124.0,139582.0,650.0,3218.0,64486.0,66656.0
960,6111,751583,767467,211349.0,724.0,4242.0,210064.0,743.0,4323.0,63190.0,67422.0
961,34009,767917,807767,10962.0,6.0,323.0,10893.0,8.0,334.0,63203.0,67836.0
962,12071,773725,683933,194183.0,226.0,2176.0,199503.0,255.0,2130.0,52832.0,54707.0
963,36119,776300,882133,200075.0,708.0,1826.0,200816.0,653.0,1990.0,112037.0,115386.0
964,32031,796008,835400,254349.0,1419.0,5344.0,259168.0,1460.0,5564.0,62994.0,66076.0
965,8117,802108,722467,5079.0,16.0,189.0,5021.0,0.0,103.0,73435.0,77754.0
966,6061,804950,787850,141744.0,259.0,3154.0,144128.0,277.0,2843.0,67610.0,72279.0
967,34003,813742,764433,44505.0,103.0,594.0,44264.0,54.0,573.0,88241.0,91972.0
968,53035,819558,819350,41675.0,168.0,1358.0,41817.0,143.0,1342.0,57197.0,60704.0
969,49043,834300,835850,8620.0,54.0,276.0,8632.0,26.0,246.0,152310.0,156537.0
970,6097,838242,889800,177884.0,857.0,2874.0,176932.0,913.0,2838.0,64869.0,71386.0
972,6087,885383,896800,65263.0,389.0,2932.0,65073.0,309.0,2237.0,68990.0,75957.0
974,24031,999883,1088833,17893.0,71.0,409.0,17831.0,61.0,469.0,86221.0,89552.0
976,25017,1024508,988267,119908.0,334.0,1983.0,119938.0,341.0,2200.0,86525.0,90688.0
977,6083,1074292,1178000,91717.0,400.0,2118.0,108140.0,834.0,2472.0,62715.0,67879.0
979,6001,1199117,1133550,434036.0,5520.0,27868.0,437923.0,5653.0,22622.0,78839.0,87078.0
980,34013,1278925,1537733,281422.0,1742.0,4618.0,282242.0,1492.0,4567.0,65927.0,70497.0
981,48113,1288933,1364000,1363295.0,11764.0,45279.0,1363028.0,11514.0,46974.0,63591.0,65401.0
982,6053,1316708,1441267,156943.0,782.0,3532.0,155984.0,866.0,3481.0,56545.0,61510.0
983,6075,1338958,1356450,886007.0,5933.0,48780.0,881514.0,4796.0,38737.0,133856.0,144818.0
984,53033,1438275,1257067,763706.0,4471.0,34333.0,771517.0,4832.0,37593.0,92026.0,96647.0
985,4013,1471650,1596633,1688722.0,11803.0,55974.0,1708960.0,13646.0,51089.0,49663.0,53521.0
986,36059,1476417,1397750,33552.0,19.0,66.0,33461.0,13.0,46.0,92159.0,96253.0
987,6041,1492575,1669200,58819.0,230.0,1686.0,58512.0,229.0,1912.0,138903.0,145575.0
988,6013,1755617,1735933,130615.0,541.0,4560.0,130074.0,423.0,3783.0,84614.0,92264.0
989,6059,1974967,1927267,353915.0,1120.0,8258.0,351913.0,1241.0,8865.0,69951.0,74618.0
990,6081,2050058,1791967,107748.0,232.0,1868.0,106855.0,192.0,1460.0,132133.0,141841.0
991,6037,2236442,2342400,4015546.0,29400.0,95704.0,4000587.0,28882.0,85932.0,63043.0,68272.0
992,6073,2408475,2186550,1441737.0,5215.0,27141.0,1437608.0,5303.0,24321.0,60845.0,66266.0
993,6085,2997442,2689000,1040008.0,4559.0,25164.0,1029542.0,4375.0,23847.0,114649.0,123661.0
