,CountyID,AverageSalesPrice2019  ,AverageSalesPrice2020,Population 2019,Violent Crime Total 2019,Property Crime Total 2019,Population 2020,Violent Crime Total 2020,Property Crime Total 2020,Income_2019,Income_2020
609,6005,250583,266500,8454.0,11.0,46.0,8674.0,13.0,44.0,43979.0,47721.0
610,41065,250908,290800,15752.0,28.0,491.0,15849.0,48.0,590.0,43397.0,48643.0
611,51019,251108,272900,6588.0,9.0,198.0,6601.0,5.0,69.0,46857.0,49457.0
612,41013,251142,280767,10479.0,38.0,223.0,10919.0,33.0,198.0,42981.0,46179.0
613,47149,251975,263100,145929.0,611.0,4228.0,151769.0,740.0,3772.0,43095.0,45374.0
614,32007,252342,268433,20601.0,69.0,530.0,20697.0,99.0,609.0,47785.0,50429.0
615,13073,253175,267200,14918.0,22.0,168.0,15650.0,38.0,109.0,51534.0,54420.0
617,12105,254075,242933,112237.0,350.0,3230.0,113876.0,404.0,2813.0,37183.0,39760.0
618,13077,254250,238850,40720.0,222.0,1090.0,42658.0,532.0,837.0,49042.0,52106.0
620,55009,254658,256300,104992.0,529.0,1724.0,104649.0,552.0,1600.0,53516.0,56093.0
621,27131,254767,243200,23913.0,61.0,470.0,23958.0,61.0,465.0,44816.0,47839.0
623,8085,254783,278767,19564.0,40.0,689.0,19864.0,37.0,630.0,41922.0,45262.0
624,4017,254900,259900,11401.0,59.0,332.0,11527.0,75.0,313.0,32007.0,36169.0
625,28089,255917,268733,25862.0,10.0,269.0,24080.0,73.0,527.0,65334.0,68381.0
626,26065,256075,255133,118953.0,1313.0,3355.0,118651.0,1699.0,3565.0,41298.0,44957.0
627,26049,256675,268833,95212.0,1284.0,1986.0,94842.0,996.0,1614.0,41940.0,46152.0
629,48167,256900,266400,109401.0,121.0,1487.0,110518.0,127.0,1493.0,56611.0,57941.0
630,48309,257175,263567,139870.0,799.0,4599.0,140870.0,905.0,4854.0,42699.0,45772.0
632,24047,257700,277233,12264.0,8.0,72.0,11710.0,2.0,65.0,56536.0,59881.0
633,45063,259017,245833,22160.0,72.0,632.0,22592.0,47.0,493.0,47789.0,50188.0
635,36029,259517,249150,255686.0,2533.0,8298.0,254627.0,2592.0,7844.0,52264.0,56748.0
636,39045,259742,263433,40622.0,110.0,1540.0,40700.0,101.0,1212.0,47809.0,51153.0
637,55015,260025,280400,3774.0,2.0,32.0,3851.0,6.0,48.0,53076.0,55460.0
638,37175,260883,288850,7928.0,18.0,188.0,7954.0,13.0,133.0,43065.0,44747.0
639,6025,261658,279133,44303.0,143.0,1184.0,44238.0,158.0,1003.0,37196.0,44500.0
641,51047,263033,289133,18873.0,32.0,340.0,19131.0,38.0,318.0,47386.0,50509.0
642,18141,263258,284100,101944.0,1357.0,4296.0,102119.0,1765.0,3741.0,48244.0,51141.0
643,29047,263433,254133,27553.0,89.0,725.0,27719.0,130.0,666.0,49277.0,51619.0
644,5007,264500,272500,69168.0,330.0,1968.0,70194.0,274.0,1822.0,94108.0,94289.0
645,26127,264558,270150,2089.0,17.0,131.0,2064.0,10.0,140.0,38890.0,43261.0
646,36079,264842,258800,2345.0,0.0,5.0,2329.0,2.0,9.0,69542.0,73152.0
647,22103,265433,301833,27768.0,75.0,791.0,27669.0,77.0,878.0,68914.0,70190.0
648,38015,266992,284350,74705.0,228.0,2079.0,74997.0,260.0,2471.0,61147.0,62801.0
649,26055,267300,253567,15772.0,66.0,231.0,15855.0,85.0,211.0,52631.0,56861.0
650,6021,267517,293950,7679.0,33.0,134.0,7878.0,22.0,119.0,43247.0,52219.0
651,55059,267950,296450,100255.0,311.0,1582.0,100005.0,391.0,1443.0,48550.0,51229.0
652,53021,268025,277600,5772.0,11.0,39.0,76970.0,183.0,1351.0,39104.0,43271.0
653,12119,269358,280700,7310.0,48.0,250.0,7568.0,64.0,158.0,53411.0,54533.0
654,49005,269817,279300,52029.0,113.0,691.0,51899.0,100.0,592.0,42075.0,44947.0
656,16057,271008,308767,26018.0,7.0,345.0,25918.0,10.0,391.0,41442.0,43944.0
657,4007,271292,321933,15760.0,59.0,288.0,15869.0,100.0,332.0,39720.0,44201.0
658,39113,271658,284700,140427.0,1351.0,5673.0,140193.0,1523.0,5391.0,48143.0,51618.0
659,33011,271958,286467,112895.0,678.0,2678.0,113018.0,670.0,2560.0,62752.0,66548.0
660,12069,272017,277233,37818.0,79.0,678.0,39932.0,93.0,612.0,44253.0,46563.0
661,37055,272425,290750,7268.0,19.0,281.0,7407.0,17.0,214.0,56573.0,59240.0
662,47037,272583,293533,16976.0,53.0,517.0,16896.0,48.0,475.0,72602.0,71659.0
663,51109,272933,273333,1721.0,1.0,44.0,1753.0,0.0,31.0,43618.0,46040.0
664,55131,273050,274133,31638.0,67.0,512.0,31603.0,80.0,513.0,59878.0,62506.0
665,51085,274317,296633,7916.0,19.0,158.0,7947.0,17.0,133.0,62141.0,64704.0
666,29029,274317,319533,4598.0,25.0,283.0,4696.0,22.0,265.0,38767.0,40778.0
667,4015,274433,291950,55413.0,87.0,670.0,56243.0,105.0,790.0,34274.0,36529.0
668,41043,274450,306900,54993.0,70.0,1467.0,55926.0,83.0,1545.0,43971.0,48040.0
670,30049,275133,282267,32806.0,190.0,1400.0,33629.0,216.0,1227.0,50915.0,54040.0
671,37189,275433,265600,19893.0,26.0,261.0,19975.0,23.0,269.0,38652.0,40157.0
673,9009,275942,293167,130494.0,1168.0,4958.0,130299.0,922.0,4575.0,56710.0,60092.0
675,39165,276275,323733,33939.0,10.0,218.0,20720.0,30.0,282.0,62896.0,65855.0
676,21015,276308,304800,32848.0,55.0,1415.0,33397.0,55.0,1561.0,50183.0,53405.0
677,37141,276883,284767,4176.0,13.0,130.0,4182.0,14.0,137.0,39418.0,41292.0
678,48139,277375,308533,20096.0,17.0,333.0,39039.0,71.0,701.0,46874.0,49333.0
679,12005,277542,289200,37199.0,228.0,1914.0,34672.0,303.0,1453.0,46818.0,50696.0
680,23031,277683,286200,21545.0,92.0,578.0,21530.0,50.0,421.0,54396.0,58038.0
681,16051,278692,333600,4225.0,3.0,35.0,4332.0,1.0,40.0,36926.0,40288.0
682,27123,279817,287667,310263.0,1752.0,11208.0,309859.0,2320.0,11783.0,55442.0,58557.0
683,31153,280358,270800,53880.0,110.0,961.0,20512.0,27.0,284.0,52380.0,55173.0
684,26093,280458,300567,9637.0,32.0,76.0,9620.0,22.0,79.0,59097.0,62622.0
685,22015,281658,304100,69044.0,546.0,3225.0,68869.0,609.0,3201.0,45535.0,48907.0
686,39035,282200,262600,381829.0,5791.0,17057.0,379121.0,6281.0,15433.0,55998.0,59923.0
687,45043,282283,294300,8733.0,107.0,543.0,8697.0,108.0,490.0,49260.0,51775.0
688,37089,283250,316500,14234.0,61.0,680.0,14275.0,57.0,638.0,45680.0,47385.0
689,39133,283483,280067,29761.0,30.0,393.0,29732.0,27.0,452.0,45500.0,48285.0
690,49053,284408,288700,89160.0,181.0,1397.0,91673.0,148.0,1025.0,41869.0,43782.0
691,6089,284442,287550,10545.0,61.0,363.0,92895.0,513.0,2323.0,46417.0,51649.0
692,16055,286417,326550,52256.0,132.0,712.0,53405.0,209.0,835.0,46762.0,48953.0
693,8077,287108,315733,63949.0,235.0,2463.0,64149.0,348.0,2966.0,45898.0,48435.0
694,48397,287308,308150,46096.0,50.0,740.0,46867.0,59.0,805.0,62986.0,64943.0
695,34035,288275,313500,21474.0,47.0,281.0,21279.0,25.0,302.0,110466.0,112825.0
696,41033,288467,302367,38475.0,121.0,1235.0,38420.0,133.0,1160.0,43694.0,46913.0
697,19153,288608,317467,218384.0,1555.0,8933.0,215290.0,1517.0,8400.0,54049.0,57080.0
698,48039,289283,270633,126206.0,113.0,2071.0,126111.0,125.0,1799.0,50207.0,51812.0
699,51093,289333,319900,8485.0,17.0,150.0,8518.0,14.0,100.0,55930.0,59285.0
701,41057,290450,304667,1415.0,6.0,24.0,5392.0,13.0,208.0,44607.0,48060.0
703,41053,291400,290867,16983.0,48.0,326.0,17265.0,32.0,381.0,42718.0,45660.0
704,37097,291508,314133,38967.0,65.0,1050.0,39692.0,80.0,972.0,53465.0,56201.0
705,48497,292333,266933,7116.0,8.0,247.0,7220.0,12.0,306.0,45745.0,48435.0
707,47165,293000,321133,58388.0,100.0,652.0,58901.0,95.0,585.0,50947.0,52403.0
709,53075,293208,309933,34585.0,42.0,273.0,1084.0,0.0,0.0,40682.0,44628.0
710,12113,293642,304467,10460.0,20.0,187.0,10728.0,9.0,127.0,46784.0,49472.0
711,12111,295025,314800,199433.0,293.0,1696.0,206450.0,264.0,1666.0,41457.0,43970.0
712,39093,295500,291067,64022.0,289.0,1437.0,63831.0,323.0,1510.0,47989.0,51157.0
714,4021,296650,309500,58366.0,274.0,1336.0,59822.0,338.0,1200.0,32699.0,35949.0
715,33017,296683,294867,31950.0,25.0,347.0,32480.0,24.0,315.0,52598.0,56104.0
716,37025,296817,309433,96138.0,117.0,1586.0,98411.0,118.0,1375.0,46826.0,49679.0
717,47119,299050,326467,43303.0,53.0,381.0,45765.0,75.0,389.0,44739.0,47100.0
719,13057,300450,303650,33470.0,39.0,438.0,34252.0,61.0,333.0,53774.0,56278.0
720,39097,301083,359267,10320.0,26.0,216.0,10378.0,12.0,141.0,42296.0,46679.0
721,4019,301450,309550,548374.0,3775.0,17943.0,550448.0,3843.0,19931.0,44649.0,48373.0
722,29183,301583,353300,89611.0,114.0,1015.0,89698.0,109.0,1020.0,55138.0,56879.0
723,12035,301625,249733,5157.0,3.0,41.0,5195.0,6.0,42.0,48754.0,50599.0
725,37021,302650,339933,93641.0,695.0,5923.0,93980.0,761.0,5395.0,50804.0,53309.0
727,32019,303450,317700,3185.0,6.0,5.0,3256.0,1.0,1.0,40313.0,44098.0
728,41007,303517,324000,10040.0,75.0,336.0,10076.0,60.0,318.0,45743.0,48777.0
729,27003,304433,344733,66260.0,61.0,1586.0,66588.0,83.0,1457.0,52722.0,55694.0
730,53037,305825,317700,21324.0,45.0,652.0,21448.0,53.0,583.0,42445.0,45267.0
731,6101,305833,320850,67164.0,241.0,1823.0,67165.0,242.0,1850.0,45054.0,50730.0
733,13067,307767,326967,61324.0,262.0,1930.0,61348.0,301.0,1802.0,60383.0,63214.0
734,30081,307933,321767,4879.0,18.0,148.0,4970.0,17.0,147.0,47253.0,49860.0
735,12117,308058,324100,60844.0,497.0,2127.0,62342.0,511.0,1396.0,51620.0,53403.0
736,41041,308267,330867,10772.0,37.0,279.0,10950.0,26.0,302.0,44689.0,47231.0
737,12109,308317,348067,14778.0,107.0,440.0,15705.0,76.0,457.0,71577.0,73944.0
739,34001,308517,306533,37593.0,323.0,1738.0,37550.0,309.0,1013.0,51247.0,55802.0
740,53007,308900,335850,34513.0,62.0,638.0,34525.0,67.0,570.0,55520.0,60518.0
741,6109,309575,303133,4867.0,26.0,269.0,4860.0,39.0,253.0,46166.0,49708.0
742,13157,309992,290800,12297.0,8.0,128.0,13758.0,13.0,155.0,42927.0,45099.0
744,6039,310442,318767,66250.0,334.0,1301.0,66351.0,310.0,1141.0,38751.0,44532.0
745,6047,310750,310950,83854.0,540.0,2342.0,84197.0,672.0,1949.0,37952.0,43914.0
746,6115,310967,291500,12572.0,116.0,541.0,12519.0,141.0,463.0,41384.0,46373.0
747,6033,312183,300867,15400.0,119.0,460.0,15268.0,127.0,382.0,42144.0,47144.0
748,25005,313275,327233,94613.0,628.0,2127.0,94886.0,596.0,1684.0,55411.0,61031.0
750,23005,314275,334533,66458.0,161.0,1715.0,66229.0,129.0,1143.0,64361.0,68237.0
751,21185,315600,330767,9080.0,10.0,157.0,9142.0,14.0,165.0,66583.0,68986.0
752,41039,317083,348400,173183.0,675.0,6184.0,174513.0,681.0,6980.0,45960.0,49583.0
753,30063,317400,341550,75422.0,310.0,3082.0,76468.0,376.0,2745.0,51738.0,54353.0
754,25015,321050,286233,39603.0,99.0,173.0,40061.0,62.0,104.0,53816.0,57030.0
755,8007,321050,331067,2044.0,5.0,44.0,2127.0,8.0,41.0,43253.0,46287.0
756,47189,321183,325100,37359.0,59.0,523.0,38685.0,71.0,636.0,51689.0,53628.0
757,13113,321667,363400,7451.0,5.0,66.0,36421.0,16.0,388.0,68696.0,71384.0
758,32003,322333,333233,317732.0,543.0,5554.0,328056.0,682.0,4679.0,49225.0,51244.0
759,49045,322367,347900,35719.0,73.0,860.0,36527.0,107.0,815.0,37978.0,41301.0
760,48491,323183,313800,132747.0,165.0,2235.0,137593.0,185.0,2282.0,53713.0,56693.0
762,37037,324167,346550,8237.0,67.0,325.0,8267.0,57.0,326.0,64978.0,66766.0
765,12095,327567,334233,292120.0,2157.0,14100.0,293363.0,2524.0,11158.0,46645.0,49390.0
767,34015,329467,298400,20082.0,31.0,303.0,20461.0,45.0,267.0,56853.0,60386.0
768,6019,330492,342367,114170.0,243.0,2276.0,535472.0,3560.0,16475.0,43019.0,48495.0
769,53029,330533,351450,23554.0,31.0,134.0,23721.0,25.0,96.0,55908.0,59200.0
770,41047,330550,353133,175867.0,670.0,6488.0,176632.0,698.0,6698.0,44464.0,48135.0
771,55079,332142,379700,590923.0,7874.0,15097.0,589105.0,9407.0,16074.0,48107.0,51002.0
772,39153,332342,375667,197882.0,1782.0,6568.0,197433.0,1797.0,6971.0,53580.0,56821.0
774,39061,334325,364067,303335.0,2562.0,13051.0,304724.0,2721.0,11224.0,61458.0,65035.0
775,8049,335792,425967,2133.0,0.0,25.0,2174.0,1.0,27.0,53867.0,57476.0
776,47065,336550,386500,181848.0,1946.0,10106.0,184211.0,2504.0,11709.0,53075.0,55911.0
777,55025,337167,348267,261270.0,940.0,6464.0,262736.0,842.0,7301.0,63683.0,66094.0
778,37081,337800,380700,298025.0,2440.0,10994.0,299887.0,2704.0,10830.0,47013.0,49856.0
779,13135,338875,352167,21331.0,39.0,393.0,29946.0,50.0,414.0,43573.0,46886.0
782,53017,340017,344200,14293.0,8.0,192.0,14336.0,12.0,228.0,40798.0,45305.0
783,53067,340233,361050,53286.0,254.0,1854.0,53826.0,83.0,1386.0,52010.0,56007.0
784,48339,340517,364900,6587.0,27.0,156.0,94451.0,175.0,2336.0,64853.0,65516.0
785,53005,341817,351467,84072.0,253.0,2487.0,85526.0,215.0,2836.0,48285.0,51757.0
786,6023,342692,357250,26973.0,195.0,1350.0,26656.0,182.0,1041.0,46072.0,50182.0
787,37019,343850,372333,8244.0,15.0,135.0,8581.0,16.0,162.0,45128.0,46829.0
788,51043,344592,313200,4363.0,1.0,33.0,4393.0,2.0,40.0,66713.0,69117.0
789,45091,346192,330500,75342.0,498.0,2521.0,23966.0,32.0,231.0,48729.0,51772.0
790,37183,347267,350100,477828.0,1222.0,8520.0,482264.0,1891.0,9745.0,62657.0,65450.0
792,12031,349517,362800,909142.0,5886.0,30088.0,920508.0,6424.0,26432.0,48096.0,51131.0
793,12057,350692,357350,400501.0,1622.0,6523.0,407350.0,2119.0,5561.0,48586.0,51848.0
794,12089,351342,364200,12710.0,25.0,152.0,13383.0,17.0,121.0,62700.0,64746.0
795,41009,351392,357133,13900.0,41.0,139.0,13818.0,35.0,191.0,45379.0,48749.0
796,18057,351567,369500,95506.0,51.0,734.0,103100.0,51.0,605.0,78343.0,80426.0
797,12097,352900,397600,75544.0,368.0,1899.0,74337.0,318.0,1707.0,36258.0,39210.0
798,53009,354242,361000,20207.0,117.0,719.0,20364.0,140.0,579.0,46524.0,49718.0
799,48493,355417,334700,7970.0,19.0,147.0,8247.0,19.0,98.0,48249.0,49745.0
