RegionName,StateName,CountyID,AverageSalesPrice2019  ,AverageSalesPrice2020
"Hartsville, SC",South Carolina,45031,115892,133533
"Waterloo, IA",Iowa,19013,116000,119450
"Beebe, AR",Arkansas,5145,116225,117167
"Corbin, KY",Kentucky,21235,116233,135400
"Bristol, TN",Tennessee,47163,116242,131367
"Knox, IN",Indiana,18149,116283,125100
"Marshalltown, IA",Iowa,19127,116342,123750
"Fayetteville, NC",North Carolina,37051,116367,128250
"Beverly Hills, FL",Florida,12017,116533,128833
"Elizabethton, TN",Tennessee,47019,116642,128433
"Lansing, IL",Illinois,17031,117417,108500
"Baker, LA",Louisiana,22033,117517,132033
"Mount Airy, NC",North Carolina,37171,117767,107300
"Springfield, IL",Illinois,17167,118242,114700
"Florence, AL",Alabama,1077,118333,118067
"Franklin, OH",Ohio,39165,118367,120467
"Marion, NC",North Carolina,37111,118525,102100
"Beech Grove, IN",Indiana,18097,119308,135433
"Bethany, OK",Oklahoma,40109,119408,113200
"Tifton, GA",Georgia,13277,119492,122050
"Gladwin, MI",Michigan,26051,119583,127667
"Napoleon, OH",Ohio,39069,120017,111300
"Wickliffe, OH",Ohio,39085,120358,118100
"Dearborn Heights, MI",Michigan,26163,120442,128700
"Superior, WI",Wisconsin,55031,120483,110500
"Clarksville, AR",Arkansas,5071,120492,112300
"Parma, OH",Ohio,39035,120533,133200
"Bartlesville, OK",Oklahoma,40147,120600,120233
"Ward, AR",Arkansas,5085,120650,133167
"Sturgis, MI",Michigan,26149,120667,125833
"Holiday, FL",Florida,12101,121133,135833
"Kansas City, KS",Kansas,20209,121633,138000
"Southgate, MI",Michigan,26163,121858,127567
"Decatur, AL",Alabama,1103,121883,126567
"Theodore, AL",Alabama,1097,122017,130933
"New Philadelphia, OH",Ohio,39157,122033,122100
"Fort Smith, AR",Arkansas,5131,122058,135700
"Huber Heights, OH",Ohio,39113,122292,139867
"West Plains, MO",Missouri,29091,122367,131700
"Wyandotte, MI",Michigan,26163,122542,133467
"Horn Lake, MS",Mississippi,28033,122600,132300
"Hinesville, GA",Georgia,13179,122758,129667
"Wilson, NC",North Carolina,37195,122892,135567
"Harrodsburg, KY",Kentucky,21167,123200,149267
"Manistee, MI",Michigan,26101,123258,154800
"Willowick, OH",Ohio,39085,123275,131400
"Sumter, SC",South Carolina,45085,123525,143867
"Copperas Cove, TX",Texas,48099,123542,135600
"Woodward, OK",Oklahoma,40153,123542,120433
"Collinsville, IL",Illinois,17119,123917,115067
"Parma Heights, OH",Ohio,39035,124142,135667
"Riverdale, GA",Georgia,13063,124267,132150
"Mishawaka, IN",Indiana,18141,124358,139900
"Oxford, AL",Alabama,1015,124467,132733
"Urbana, IL",Illinois,17019,125025,119500
"Ottawa, IL",Illinois,17099,125083,149700
"Port Richey, FL",Florida,12101,125117,129950
"Washington, IA",Iowa,19183,125125,114533
"Warner Robins, GA",Georgia,13153,125242,135100
"Rome, GA",Georgia,13115,125608,138500
"Ravenna, OH",Ohio,39133,125833,148850
"Celina, OH",Ohio,39107,126058,129600
"Jasper, AL",Alabama,1127,126083,130600
"Coldwater, MI",Michigan,26023,126108,128300
"Searcy, AR",Arkansas,5145,126125,126000
"Chatsworth, GA",Georgia,13213,126275,121050
"Forest Park, OH",Ohio,39061,126317,148600
"Dunn, NC",North Carolina,37085,126358,130133
"Mount Vernon, OH",Ohio,39083,126492,151233
"Warren, MI",Michigan,26099,126517,120250
"Independence, MO",Missouri,29095,126642,130650
"East Peoria, IL",Illinois,17179,127033,119800
"Garden City, MI",Michigan,26163,127258,140450
"Sweetwater, TN",Tennessee,47123,127308,163800
"West Columbia, SC",South Carolina,45063,127358,133467
"Delta, OH",Ohio,39051,127375,126400
"Massillon, OH",Ohio,39151,127767,149300
"Bridgetown, OH",Ohio,39061,127900,127233
"Elsmere, KY",Kentucky,21117,128008,140667
"Arcadia, FL",Florida,12027,128350,157133
"Shelbyville, IN",Indiana,18145,128592,132133
"Hagerstown, MD",Maryland,24043,128825,142167
"Sparta, TN",Tennessee,47185,128975,136900
"Radcliff, KY",Kentucky,21093,129167,125467
"Snyder, TX",Texas,48415,129167,118333
"Sioux City, IA",Iowa,19193,129225,129950
"Thomasville, NC",North Carolina,37057,129233,115700
"Evansville, IN",Indiana,18163,129708,136667
"Greeneville, TN",Tennessee,47059,129775,132400
"Morristown, TN",Tennessee,47063,130133,155300
"Belleview, FL",Florida,12083,130400,138733
"Pleasant Grove, AL",Alabama,1073,130433,150500
"Inverness, FL",Florida,12017,130475,150733
"Laughlin, NV",Nevada,32003,130475,142533
"Muscatine, IA",Iowa,19139,130633,141533
"Oshkosh, WI",Wisconsin,55139,130675,151867
"Horizon City, TX",Texas,48141,130708,120633
"Millbrook, AL",Alabama,1051,131142,149367
"Clementon, NJ",New Jersey,34007,131375,157933
"Milwaukee, WI",Wisconsin,55079,131433,155500
"Newark, OH",Ohio,39089,131517,133500
"Branson, MO",Missouri,29213,131517,137633
"Ottawa, KS",Kansas,20059,131533,147267
"Fayetteville, TN",Tennessee,47103,131567,142733
"Grandview, MO",Missouri,29095,131658,132400
"Hastings, NE",Nebraska,31001,131675,153100
"Eaton, OH",Ohio,39135,131833,137667
"Jackson, TN",Tennessee,47113,131867,145967
"Gautier, MS",Mississippi,28059,131983,138600
"Killeen, TX",Texas,48027,132017,146067
"Asheboro, NC",North Carolina,37151,132083,149733
"Allen Park, MI",Michigan,26163,132208,138500
"Mobile, AL",Alabama,1097,132342,139767
"Brook Park, OH",Ohio,39035,132492,141267
"Paducah, KY",Kentucky,21145,132625,153300
"Torrington, CT",Connecticut,9005,132642,156550
"Labelle, FL",Florida,12051,132967,148267
"South Charleston, WV",West Virginia,54039,132967,137150
"East Ridge, TN",Tennessee,47065,132975,136567
"Henderson, KY",Kentucky,21101,133050,138667
"Salina, KS",Kansas,20169,133092,144933
"Godfrey, IL",Illinois,17119,133167,140400
"Denison, TX",Texas,48181,133200,135967
"Hartselle, AL",Alabama,1103,133325,135300
"New Haven, IN",Indiana,18003,133517,149500
"Painesville, OH",Ohio,39085,133542,126900
"Sheboygan, WI",Wisconsin,55117,133650,146300
"Cuyahoga Falls, OH",Ohio,39153,133692,136550
"Englewood, OH",Ohio,39113,133883,133533
"Athens, TN",Tennessee,47107,133925,129700
"Texas City, TX",Texas,48167,133975,147033
"Charleston, WV",West Virginia,54039,134008,156200
"Russellville, AR",Arkansas,5115,134242,144733
"Archdale, NC",North Carolina,37151,134267,123767
"Pearl, MS",Mississippi,28121,134300,141533
"Gulfport, MS",Mississippi,28047,134425,151867
"Daytona Beach, FL",Florida,12127,134567,137700
"Rockmart, GA",Georgia,13233,134583,155400
"Lebanon, IN",Indiana,18011,134667,147367
"Waseca, MN",Minnesota,27161,134700,155100
"Haysville, KS",Kansas,20173,134717,120100
"Crawfordsville, IN",Indiana,18107,134742,150000
"Otsego, MI",Michigan,26005,135042,156733
"Wausau, WI",Wisconsin,55073,135075,136650
"Oregon, OH",Ohio,39095,135175,145067
"Finneytown, OH",Ohio,39061,135192,149200
"Cortland, OH",Ohio,39155,135258,116633
"Kingsport, TN",Tennessee,47163,135583,147533
"Lexington, NC",North Carolina,37057,135650,156950
"Perryville, MO",Missouri,29157,135675,144567
"Cape Girardeau, MO",Missouri,29031,135750,145000
"Wapakoneta, OH",Ohio,39011,135967,135067
"Durant, OK",Oklahoma,40013,136175,114367
"Sebring, FL",Florida,12055,136233,137100
"Waukegan, IL",Illinois,17097,136375,145633
"Davenport, IA",Iowa,19163,136383,144550
"Twentynine Palms, CA",California,6071,136575,145850
"Madison Heights, MI",Michigan,26125,136617,142467
"Lyndhurst, OH",Ohio,39035,136625,137333
"Springdale, OH",Ohio,39061,136667,158933
"De Soto, MO",Missouri,29099,136925,123433
"South Beloit, IL",Illinois,17201,136958,121600
"Dalton, GA",Georgia,13313,137025,139700
"Clanton, AL",Alabama,1021,137167,149933
"Excelsior Springs, MO",Missouri,29047,137183,145433
"Pulaski, TN",Tennessee,47055,137358,138350
"Byram, MS",Mississippi,28049,137383,140467
"Highland Springs, VA",Virginia,51087,137392,128067
"Valdosta, GA",Georgia,13185,137433,139100
"Mountain Home, AR",Arkansas,5005,137533,128833
"Topeka, KS",Kansas,20177,137700,142350
"New Albany, IN",Indiana,18043,137825,156233
"Marietta, OH",Ohio,39167,137925,147100
"Baker City, OR",Oregon,41001,137933,190900
"Madison, OH",Ohio,39085,137950,115300
"East Point, GA",Georgia,13121,138192,160350
"Church Hill, TN",Tennessee,47073,138383,133433
"Allentown, PA",Pennsylvania,42077,138675,162133
"Kettering, OH",Ohio,39113,138942,140567
"Kannapolis, NC",North Carolina,37025,138942,163950
"Tulsa, OK",Oklahoma,40143,139025,148400
"Danville, KY",Kentucky,21021,139058,146033
"Berea, OH",Ohio,39035,139225,146833
"Bellmawr, NJ",New Jersey,34007,139267,165867
"Mayfield Heights, OH",Ohio,39035,139350,145133
"Louisville, OH",Ohio,39151,139500,166800
"Lancaster, SC",South Carolina,45057,139742,146533
"Reading, OH",Ohio,39061,139808,154933
"Dodge City, KS",Kansas,20057,139908,122833
"Jonesboro, GA",Georgia,13063,139967,148600
"Newton, NC",North Carolina,37035,140317,147300
"Allegan, MI",Michigan,26005,140358,162167
"Burlington, NC",North Carolina,37001,140367,133750
"Havelock, NC",North Carolina,37049,140400,156667
"Greensburg, IN",Indiana,18031,140433,159500
"Green Bay, WI",Wisconsin,55009,140542,154200
"Fultondale, AL",Alabama,1073,140575,152600
"Elkhart, IN",Indiana,18039,140600,151167
"Columbia, SC",South Carolina,45079,140725,153750
"Lafayette, IN",Indiana,18157,140858,161267
"Belding, MI",Michigan,26067,140942,139467
"Tomahawk, WI",Wisconsin,55069,141192,159800
"Scotia, NY",New York,36093,141317,134500
"Lancaster, OH",Ohio,39045,141333,149767
"Statesboro, GA",Georgia,13031,141333,154767
"Mount Pleasant, MI",Michigan,26073,141350,134067
"Bedford, VA",Virginia,51019,141383,176967
"Springfield, MO",Missouri,29077,141492,150167
"Depew, NY",New York,36029,141592,145350
"Lithonia, GA",Georgia,13089,141608,149800
"Oak Park, MI",Michigan,26125,141625,142667
"Marysville, MI",Michigan,26147,141667,142067
"High Point, NC",North Carolina,37081,141683,146200
"Farmington, MO",Missouri,29187,141758,136767
"Austin, AR",Arkansas,5085,141775,154167
"Dover, OH",Ohio,39157,141867,140800
"Orrville, OH",Ohio,39169,141883,149000
"Port Clinton, OH",Ohio,39123,141892,191400
"Sand Springs, OK",Oklahoma,40143,142067,156750
"Alamogordo, NM",New Mexico,35035,142175,158167
"East Highland Park, VA",Virginia,51087,142342,151100
"Gaylord, MI",Michigan,26137,142583,135200
"Rolla, MO",Missouri,29161,142658,156200
"Whitesboro, NY",New York,36065,142958,129733
"Fergus Falls, MN",Minnesota,27111,142975,150350
"Greenville, NC",North Carolina,37147,143042,147400
"Goldsboro, NC",North Carolina,37191,143042,168233
"Des Moines, IA",Iowa,19153,143067,153067
"Franklin, KY",Kentucky,21213,143083,139433
"Erlanger, KY",Kentucky,21117,143158,151933
"Monroe, LA",Louisiana,22073,143383,157633
"Myrtle Beach, SC",South Carolina,45051,143492,142300
"Barstow, CA",California,6071,143492,156867
"Troy, NY",New York,36083,143500,158567
"Dearborn, MI",Michigan,26163,143533,155850
"Vandalia, OH",Ohio,39113,143700,133267
"Lagrange, GA",Georgia,13285,143825,150067
"Vineland, NJ",New Jersey,34011,143892,145800
"Runnemede, NJ",New Jersey,34007,143900,142800
"Lake City, FL",Florida,12023,144050,174350
"Amarillo, TX",Texas,48375,144150,157500
