RegionName,StateName,CountyID,AverageSalesPrice2019  ,AverageSalesPrice2020
"Appleton, WI",Wisconsin,55087,159292,176500
"Kingsland, GA",Georgia,13039,159333,173933
"Little Rock, AR",Arkansas,5119,159350,176400
"Reedsburg, WI",Wisconsin,55111,159350,202933
"Crest Hill, IL",Illinois,17197,159383,183767
"Elizabethtown, KY",Kentucky,21093,159425,178533
"Little River, SC",South Carolina,45051,159425,171000
"Union, MO",Missouri,29071,159458,164000
"North Olmsted, OH",Ohio,39035,159500,176667
"Temple, TX",Texas,48027,159533,167650
"Somerton, AZ",Arizona,4027,159558,162600
"Fairfield, OH",Ohio,39017,159567,151233
"Joliet, IL",Illinois,17197,159592,169100
"Janesville, WI",Wisconsin,55105,159600,172033
"Grand Rapids, MN",Minnesota,27061,159633,141300
"Normal, IL",Illinois,17113,159708,158467
"Raeford, NC",North Carolina,37093,159817,170667
"North Augusta, SC",South Carolina,45003,159983,174167
"Greenville, TX",Texas,48231,160017,176067
"Ontario, OR",Oregon,41045,160142,170433
"Dubuque, IA",Iowa,19061,160292,167600
"Manchester, TN",Tennessee,47031,160525,169367
"Columbus, NE",Nebraska,31141,160533,161067
"Colonial Beach, VA",Virginia,51193,160567,178050
"Irmo, SC",South Carolina,45063,160575,174700
"Merchantville, NJ",New Jersey,34007,160575,173533
"Brainerd, MN",Minnesota,27035,160592,159900
"Murphy, NC",North Carolina,37039,160700,178933
"Gretna, LA",Louisiana,22051,160767,171867
"Mentor, OH",Ohio,39085,160767,165267
"Leeds, AL",Alabama,1073,160800,168200
"Ludowici, GA",Georgia,13183,160992,169100
"Maryland Heights, MO",Missouri,29189,161000,182733
"Skiatook, OK",Oklahoma,40113,161017,159300
"Greenfield, IN",Indiana,18059,161125,166667
"Little Falls, MN",Minnesota,27097,161208,156000
"Philadelphia, PA",Pennsylvania,42101,161242,186200
"Winter Haven, FL",Florida,12105,161242,168850
"Covington, GA",Georgia,13217,161317,172233
"Swansea, IL",Illinois,17163,161533,184933
"Graham, NC",North Carolina,37001,161542,143800
"Abilene, TX",Texas,48441,161708,164700
"Cleveland, TN",Tennessee,47011,161758,179267
"Clinton, MI",Michigan,26091,161867,172200
"Highlands, TX",Texas,48201,161892,152050
"Chippewa Falls, WI",Wisconsin,55017,162008,167667
"Clay, AL",Alabama,1073,162050,189400
"Grand Island, NE",Nebraska,31079,162175,169000
"Socastee, SC",South Carolina,45051,162208,171267
"Cold Spring, KY",Kentucky,21037,162217,200500
"Watertown, WI",Wisconsin,55055,162325,167867
"Fremont, NE",Nebraska,31053,162325,168533
"Jacksonville, FL",Florida,12031,162458,189350
"Springfield, MA",Massachusetts,25013,162475,165567
"Orange City, FL",Florida,12127,162475,169667
"Gibsonville, NC",North Carolina,37081,162600,172567
"Candler-Mcafee, GA",Georgia,13089,162633,190567
"Lakeland, FL",Florida,12105,162750,171400
"Villas, NJ",New Jersey,34009,162908,169650
"Hammond, LA",Louisiana,22105,163067,169567
"Middleburg Heights, OH",Ohio,39035,163117,162433
"Pineville, LA",Louisiana,22079,163242,160800
"Vinton, VA",Virginia,51161,163250,155500
"Spring Hill, FL",Florida,12053,163292,176300
"Kingman, AZ",Arizona,4015,163342,171250
"Florence, KY",Kentucky,21015,163367,167150
"Geneseo, IL",Illinois,17073,163425,160000
"Blackfoot, ID",Idaho,16011,163442,172833
"Ponchatoula, LA",Louisiana,22105,163450,187067
"Jasper, IN",Indiana,18037,163575,174833
"South Milwaukee, WI",Wisconsin,55079,163608,181800
"Baraboo, WI",Wisconsin,55111,163625,182433
"Keystone Heights, FL",Florida,12019,163667,182150
"Hampton, VA",Virginia,51650,163733,169700
"Huntsville, AL",Alabama,1089,164225,171633
"Swartz Creek, MI",Michigan,26049,164225,154567
"Crete, IL",Illinois,17197,164242,163300
"Middlefield, OH",Ohio,39055,164433,169000
"Cleburne, TX",Texas,48251,164450,169300
"Grand Rapids, MI",Michigan,26081,164508,180533
"Commerce, GA",Georgia,13157,164508,163533
"Auburn, ME",Maine,23001,164517,167633
"Findlay, OH",Ohio,39063,164667,162167
"Slidell, LA",Louisiana,22103,164683,178000
"Lancaster, KY",Kentucky,21079,164700,138733
"Gladstone, MO",Missouri,29047,164742,166000
"Diamondhead, MS",Mississippi,28045,164750,172967
"Pittsburgh, PA",Pennsylvania,42003,164833,179800
"Brooksville, FL",Florida,12053,164875,172067
"Norman, OK",Oklahoma,40027,164908,163700
"Lithia Springs, GA",Georgia,13097,165033,178967
"Goldendale, WA",Washington,53039,165050,178400
"Milton, FL",Florida,12113,165058,180700
"Drexel Hill, PA",Pennsylvania,42045,165125,173433
"Carencro, LA",Louisiana,22055,165217,149300
"Fountain Inn, SC",South Carolina,45045,165292,168967
"Essex, MD",Maryland,24005,165350,189000
"Oak Ridge, FL",Florida,12095,165408,163400
"New Port Richey, FL",Florida,12101,165675,185400
"New Bern, NC",North Carolina,37049,165792,175033
"Athens, AL",Alabama,1083,165883,172033
"Washington, IL",Illinois,17179,165883,168500
"Bryant, AR",Arkansas,5125,165908,167900
"Menomonie, WI",Wisconsin,55033,165950,177700
"Stockbridge, GA",Georgia,13151,165967,182333
"Austell, GA",Georgia,13067,166008,183650
"Canal Fulton, OH",Ohio,39151,166242,169700
"Red Bank, TN",Tennessee,47065,166275,189233
"Bristol, CT",Connecticut,9003,166283,170433
"Meriden, CT",Connecticut,9009,166400,158600
"Martinsburg, WV",West Virginia,54003,166417,181233
"Elgin, SC",South Carolina,45057,166542,186900
"Pahoa, HI",Hawaii,15001,166875,160333
"Lincolnton, NC",North Carolina,37109,166942,178467
"North Canton, OH",Ohio,39151,167050,178467
"Lehigh Acres, FL",Florida,12071,167208,176000
"Inman, SC",South Carolina,45083,167350,180233
"Altamonte Springs, FL",Florida,12117,167583,181467
"Pea Ridge, AR",Arkansas,5007,167658,175567
"La Crosse, WI",Wisconsin,55063,167733,168300
"Bellwood, IL",Illinois,17031,167775,174533
"Howard, OH",Ohio,39083,167842,187833
"Lawrence, IN",Indiana,18097,167925,180033
"Hanover, PA",Pennsylvania,42133,167933,174950
"Haltom City, TX",Texas,48439,168275,173667
"Streetsboro, OH",Ohio,39133,168358,172200
"Los Lunas, NM",New Mexico,35061,168525,178850
"Jackson, MO",Missouri,29031,168567,195167
"Palos Hills, IL",Illinois,17031,168625,174800
"Cookeville, TN",Tennessee,47141,168817,182300
"Ocean Springs, MS",Mississippi,28059,168942,174533
"Boiling Springs, SC",South Carolina,45083,168958,181867
"Norfolk, NE",Nebraska,31119,168983,178167
"Mason, MI",Michigan,26065,169000,167733
"Auburn Hills, MI",Michigan,26125,169008,199700
"Festus, MO",Missouri,29099,169050,167900
"Staunton, VA",Virginia,51790,169208,176500
"Franklin, NC",North Carolina,37113,169208,178300
"Pocatello, ID",Idaho,16005,169267,201233
"Hammonton, NJ",New Jersey,34001,169317,175200
"Bridgeport, CT",Connecticut,9001,169325,189750
"Colonial Heights, VA",Virginia,51570,169375,167533
"Rockton, IL",Illinois,17201,169433,166733
"Prairie Grove, AR",Arkansas,5143,169575,176433
"Clinton, MS",Mississippi,28049,169642,177750
"Arnold, MO",Missouri,29099,169925,172267
"Youngtown, AZ",Arizona,4013,169925,178400
"Munford, TN",Tennessee,47167,169933,168167
"Brown Deer, WI",Wisconsin,55079,169967,182433
"Broken Arrow, OK",Oklahoma,40143,169992,184100
"Bowling Green, OH",Ohio,39173,170167,178700
"High Ridge, MO",Missouri,29099,170200,182300
"Harrison, OH",Ohio,39061,170242,174800
"Schenectady, NY",New York,36093,170292,176700
"Albany, NY",New York,36001,170325,174900
"Seneca, SC",South Carolina,45073,170375,173533
"Warrensburg, MO",Missouri,29101,170400,189333
"Lillington, NC",North Carolina,37085,170400,188533
"Oak Lawn, IL",Illinois,17031,170467,224700
"Hudson, FL",Florida,12101,170475,179300
"Beech Mountain, NC",North Carolina,37011,170592,128400
"Tuscaloosa, AL",Alabama,1125,170600,165200
"Salem, VA",Virginia,51775,170608,208233
"Greenacres, FL",Florida,12099,170617,169400
"Deltona, FL",Florida,12127,170783,180267
"Portage, IN",Indiana,18127,170908,173500
"Hollister, MO",Missouri,29213,170950,194633
"Waco, TX",Texas,48309,170975,178600
"Collinsville, OK",Oklahoma,40143,170992,170700
"Freeland, MI",Michigan,26145,171008,191733
"Medina, TN",Tennessee,47053,171033,193733
"Hobbs, NM",New Mexico,35025,171100,192050
"Bella Vista, AR",Arkansas,5007,171108,180467
"Heath, OH",Ohio,39089,171125,174733
"Beach Park, IL",Illinois,17097,171400,175967
"Clarksville, TN",Tennessee,47125,171417,185533
"Goshen, IN",Indiana,18039,171542,179733
"Hot Springs Village, AR",Arkansas,5125,171567,163900
"Gardendale, AL",Alabama,1073,171583,175167
"Angola, IN",Indiana,18151,171625,177167
"Payette, ID",Idaho,16075,171658,193400
"Glassboro, NJ",New Jersey,34015,171808,196500
"Pikeville, NC",North Carolina,37191,172117,189167
"Ferndale, MI",Michigan,26125,172200,183833
"Pittsfield, MA",Massachusetts,25003,172342,188300
"Winterville, NC",North Carolina,37147,172400,176400
"Loxley, AL",Alabama,1003,172500,173833
"Northfield, OH",Ohio,39153,172625,177633
"Roscoe, IL",Illinois,17201,172650,187833
"Vicksburg, MI",Michigan,26077,172667,163733
"Chicopee, MA",Massachusetts,25013,172717,188200
"Woodhaven, MI",Michigan,26163,172725,184733
"Chattanooga, TN",Tennessee,47065,172750,192700
"Lafayette, LA",Louisiana,22055,172833,186967
"Carpentersville, IL",Illinois,17089,172875,176800
"Red Lion, PA",Pennsylvania,42133,173017,175400
"Blackwood, NJ",New Jersey,34007,173033,183900
"Cocoa, FL",Florida,12009,173050,182733
"Denham Springs, LA",Louisiana,22063,173058,176233
"Sturgeon Bay, WI",Wisconsin,55029,173117,189633
"Fort Atkinson, WI",Wisconsin,55055,173325,186933
"Newport News, VA",Virginia,51700,173433,180550
"Louisville, KY",Kentucky,21111,173625,173367
"Huron, OH",Ohio,39043,173658,203733
"Cartersville, GA",Georgia,13015,173742,202800
"Abingdon, VA",Virginia,51191,173750,168550
"Yukon, OK",Oklahoma,40017,173850,179967
"Menasha, WI",Wisconsin,55139,173850,186367
"Stillwater, OK",Oklahoma,40119,173858,195833
"Bossier City, LA",Louisiana,22015,173883,170000
"Fairview Park, OH",Ohio,39035,173942,183967
"Warsaw, IN",Indiana,18085,174200,180400
"Garden City, KS",Kansas,20055,174242,179167
"Palm Bay, FL",Florida,12009,174267,176500
"Belvedere Park, GA",Georgia,13089,174275,211500
"Egypt Lake-Leto, FL",Florida,12057,174367,189700
"Sandston, VA",Virginia,51087,174450,184850
"Allouez, WI",Wisconsin,55009,174550,184733
"Naugatuck, CT",Connecticut,9009,174625,180600
"Morton, IL",Illinois,17179,174667,181333
"Timber Pines, FL",Florida,12053,174825,197333
"Terrell, TX",Texas,48257,174842,175633
"Eau Claire, WI",Wisconsin,55035,174875,191633
"Hiram, GA",Georgia,13223,174925,186900
"Amelia, OH",Ohio,39025,174942,184567
"Smithfield, NC",North Carolina,37101,175008,178567
"Florence, MS",Mississippi,28121,175017,169867
"Moody, AL",Alabama,1115,175125,180800
"Auburndale, FL",Florida,12105,175192,208300
"West Haven, CT",Connecticut,9009,175242,179933
"Bethlehem, PA",Pennsylvania,42095,175267,188600
"Bridgeton, MO",Missouri,29189,175367,186533
"Nicholasville, KY",Kentucky,21113,175442,167100
"Yuma, AZ",Arizona,4027,175575,178400
"Hickory, NC",North Carolina,37035,175642,176150
"Hollidaysburg, PA",Pennsylvania,42013,175667,120600
"Glen Rock, PA",Pennsylvania,42133,175733,219767
"Yerington, NV",Nevada,32019,175792,169867
"Harrisonville, MO",Missouri,29037,175800,181800
"Douglasville, GA",Georgia,13097,175850,185000
"Highland, IN",Indiana,18089,175850,174600
"Edgewater, FL",Florida,12127,175883,187800
"Lakewood, OH",Ohio,39035,175967,194667
"Wenonah, NJ",New Jersey,34015,175975,202167
"Sulphur, LA",Louisiana,22019,176092,171900
"Maumee, OH",Ohio,39095,176150,180067
"McHenry, IL",Illinois,17111,176158,188533
"Alvin, TX",Texas,48039,176158,193367
"Martinez, GA",Georgia,13073,176208,186800
"Reynoldsburg, OH",Ohio,39049,176250,188667
"Seaford, DE",Delaware,10005,176350,193067
"Richmond, KY",Kentucky,21151,176442,189850
"Jonesborough, TN",Tennessee,47179,176642,199900
"Bowling Green, KY",Kentucky,21227,176692,187650
"Cleveland, GA",Georgia,13311,176742,190900
"Opa-locka, FL",Florida,12086,176817,166000
"Lyman, SC",South Carolina,45083,176942,189300
"Springdale, AR",Arkansas,5143,176958,180300
"Alexandria, KY",Kentucky,21037,176983,228133
"New Castle, DE",Delaware,10003,177100,187950
"Waverly, IA",Iowa,19017,177108,153667
"Victoria, TX",Texas,48469,177125,183300
"Mooresville, IN",Indiana,18109,177233,196000
"Enola, PA",Pennsylvania,42041,177250,185267
"Waynesboro, VA",Virginia,51820,177267,179700
"Olmsted Falls, OH",Ohio,39035,177392,177767
"Springfield, TN",Tennessee,47147,177550,210233
"Sun City, AZ",Arizona,4013,177625,189700
"Norcross, GA",Georgia,13135,177742,185650
"Bridgeville, PA",Pennsylvania,42003,177792,212567
"Walker, LA",Louisiana,22063,177908,181300
"Lancaster, TX",Texas,48113,177992,189000
"Lexington, SC",South Carolina,45063,178033,186533
"Derby, CT",Connecticut,9009,178158,194200
"Benson, NC",North Carolina,37101,178175,150600
"Mauldin, SC",South Carolina,45045,178300,170300
"Baton Rouge, LA",Louisiana,22033,178308,185800
"Foley, AL",Alabama,1003,178317,194600
"Barnhart, MO",Missouri,29099,178350,177033
"Wilmington, DE",Delaware,10003,178533,195100
"Pinellas Park, FL",Florida,12103,178558,200700
"Portage, MI",Michigan,26077,178592,195533
"Crawfordville, FL",Florida,12129,178625,195650
"Port Charlotte, FL",Florida,12015,178658,191650
"Mascoutah, IL",Illinois,17163,178767,184633
"Angleton, TX",Texas,48039,178858,184733
"Centerton, AR",Arkansas,5007,178892,195133
"Villa Rica, GA",Georgia,13045,178908,192650
"Cicero, IL",Illinois,17031,178917,192000
"Stow, OH",Ohio,39153,179542,184500
"North Charleston, SC",South Carolina,45019,179658,194300
"Mulberry, FL",Florida,12105,179858,188933
"Statham, GA",Georgia,13013,179908,195500
"Sandwich, IL",Illinois,17037,179917,179600
"Dover, DE",Delaware,10001,180117,189500
"Athens, GA",Georgia,13059,180192,197500
"Knoxville, TN",Tennessee,47093,180275,198050
"Marion, IA",Iowa,19113,180275,173100
"Parkville, MD",Maryland,24005,180450,197733
"Oak Grove, MO",Missouri,29095,180483,186767
"Williamstown, NJ",New Jersey,34015,180533,192750
"Ringgold, GA",Georgia,13047,180558,196433
"Alexandria, MN",Minnesota,27041,180558,200233
"Sylva, NC",North Carolina,37099,180692,208367
"Keene, NH",New Hampshire,33005,180700,192567
"Thibodaux, LA",Louisiana,22057,180892,198433
"Rincon, GA",Georgia,13103,180900,191867
"Live Oak, TX",Texas,48029,181025,192200
"Pell City, AL",Alabama,1115,181067,203367
"Leesburg, FL",Florida,12069,181108,193800
"Sherman, TX",Texas,48181,181200,183033
"Lexington, KY",Kentucky,21067,181267,196867
"Hutchinson, MN",Minnesota,27085,181267,169600
"Greenfield, WI",Wisconsin,55079,181350,210767
"Columbus, IN",Indiana,18005,181367,182233
"Owatonna, MN",Minnesota,27147,181417,184900
"Lake Charles, LA",Louisiana,22019,181475,182850
"Kenner, LA",Louisiana,22051,181492,181800
"Delavan, WI",Wisconsin,55127,181642,175500
"Cedar Lake, IN",Indiana,18089,181650,194400
"Farmington, AR",Arkansas,5143,181858,202267
"Portland, TN",Tennessee,47165,181958,198333
"Clifton, CO",Colorado,8077,181958,207233
"Monroe, GA",Georgia,13297,181958,178650
"Wetumpka, AL",Alabama,1051,182025,178767
"Middletown, CT",Connecticut,9007,182050,217000
"Kansas City, MO",Missouri,29095,182083,189200
"Seven Hills, OH",Ohio,39035,182175,186567
"Casa Grande, AZ",Arizona,4021,182258,204767
"Clayton, GA",Georgia,13241,182342,210850
"La Porte, TX",Texas,48201,182458,195200
"Carlisle, PA",Pennsylvania,42041,182500,189767
"Rosenberg, TX",Texas,48157,182583,201300
"Coconut Creek, FL",Florida,12011,182883,186400
"Mesquite, TX",Texas,48113,182950,190300
"Temperance, MI",Michigan,26115,182967,172733
"Duluth, MN",Minnesota,27137,183017,185050
"Gainesville, FL",Florida,12001,183158,234600
"Duncan, SC",South Carolina,45083,183433,192100
"Lincoln, NE",Nebraska,31109,183450,188933
"Holly, MI",Michigan,26125,183525,203667
"Batavia, OH",Ohio,39025,183583,202300
"Milford, OH",Ohio,39025,183592,197250
"Duncanville, TX",Texas,48113,183633,199733
"Osceola, IN",Indiana,18141,183692,194467
"Winder, GA",Georgia,13013,183733,191250
"Tallahassee, FL",Florida,12073,183792,193567
"New Cumberland, PA",Pennsylvania,42041,183842,184500
"Taylors, SC",South Carolina,45045,183858,190550
"Hedgesville, WV",West Virginia,54003,183867,183333
"Kaufman, TX",Texas,48257,184058,166200
"Brentwood, MO",Missouri,29189,184300,188850
"Bryson City, NC",North Carolina,37173,184433,183700
"Poinciana, FL",Florida,12105,184475,192900
"Pendleton, IN",Indiana,18095,184525,192733
"Fairburn, GA",Georgia,13121,184667,187900
"Mustang, OK",Oklahoma,40017,184683,183400
"Kernersville, NC",North Carolina,37067,184708,201900
"Pueblo, CO",Colorado,8101,184783,195350
"Tallmadge, OH",Ohio,39153,184917,175033
"Norristown, PA",Pennsylvania,42091,184967,187600
"Canfield, OH",Ohio,39099,184992,173333
"Grand Blanc, MI",Michigan,26049,185158,182233
"Osage Beach, MO",Missouri,29029,185200,196833
"Ozark, MO",Missouri,29043,185208,183833
"Chatham, IL",Illinois,17167,185358,178233
"Gun Barrel City, TX",Texas,48213,185367,207667
"Red Wing, MN",Minnesota,27049,185375,171700
"Dickinson, TX",Texas,48167,185500,214567
"Spring Grove, PA",Pennsylvania,42133,185550,173467
"Sycamore, IL",Illinois,17037,185633,181833
"Troy, MO",Missouri,29113,185650,199800
"Blairsville, GA",Georgia,13291,185917,205633
"Sierra Vista, AZ",Arizona,4003,185983,197000
"Middle River, MD",Maryland,24005,186033,210367
"Tamarac, FL",Florida,12011,186042,197550
"Derby, KS",Kansas,20173,186083,199250
"Carolina Shores, NC",North Carolina,37019,186108,191400
"Harvest, AL",Alabama,1089,186292,197533
"Omaha, NE",Nebraska,31055,186467,196200
"Inwood, WV",West Virginia,54003,186575,195100
"Wadsworth, OH",Ohio,39103,186583,189367
"Grovetown, GA",Georgia,13073,186692,196633
"Brunswick, OH",Ohio,39103,186700,197100
"Centerville, OH",Ohio,39113,186700,185767
"Klamath Falls, OR",Oregon,41035,186750,221500
"Faribault, MN",Minnesota,27131,186775,194650
"North Ridgeville, OH",Ohio,39093,186842,193367
"Nixa, MO",Missouri,29043,186975,218233
"Watauga, TX",Texas,48439,186983,193733
"Ladson, SC",South Carolina,45015,187033,192600
"Easton, PA",Pennsylvania,42095,187175,204633
"Eureka Springs, AR",Arkansas,5015,187217,191100
"Deatsville, AL",Alabama,1051,187508,164950
"Huntertown, IN",Indiana,18003,187558,225000
"Orange Park, FL",Florida,12019,187575,219450
"Crestview, FL",Florida,12091,187667,199167
"Charlestown, IN",Indiana,18019,187667,190933
"Richland Hills, TX",Texas,48439,187667,214267
"Haughton, LA",Louisiana,22015,187758,178400
"Danville, IN",Indiana,18063,187758,201633
"Dickson, TN",Tennessee,47043,187842,190433
"Northlake, IL",Illinois,17031,187925,199700
"Hillsboro, MO",Missouri,29099,188333,215133
"Uniontown, OH",Ohio,39151,188342,213200
"Alabaster, AL",Alabama,1117,188367,201200
"Homosassa, FL",Florida,12017,188608,199300
"Crowley, TX",Texas,48439,188667,202500
"Pelham, AL",Alabama,1117,188833,211600
"Round Lake, IL",Illinois,17097,189083,189867
"Walton, KY",Kentucky,21015,189200,203800
"Rosedale, MD",Maryland,24005,189225,194967
"Bethel Park, PA",Pennsylvania,42003,189342,214267
"Cedar Springs, MI",Michigan,26081,189342,203500
"Evergreen Park, IL",Illinois,17031,189350,199500
"Bridgeview, IL",Illinois,17031,189425,202567
"Locust Grove, GA",Georgia,13151,189433,190500
"Tyler, TX",Texas,48423,189633,199350
"Newburgh, IN",Indiana,18173,189675,203150
"Whitewater, WI",Wisconsin,55127,189800,211467
"Jarrell, TX",Texas,48491,189808,189767
"Fresno, TX",Texas,48157,189867,199633
"Independence, KY",Kentucky,21117,189925,194100
"Taylor, TX",Texas,48491,189933,209200
"Universal City, TX",Texas,48029,190100,205300
"Hellertown, PA",Pennsylvania,42095,190333,225000
"Brandon, MS",Mississippi,28121,190400,190167
"Middle Valley, TN",Tennessee,47065,190458,177833
"Blue Springs, MO",Missouri,29095,190500,207650
"Shelbyville, KY",Kentucky,21211,190550,208967
"Columbia, MO",Missouri,29019,190658,191433
"Mastic Beach, NY",New York,36103,190800,202800
"Sun City Center, FL",Florida,12057,190850,199567
"Aurora, IL",Illinois,17089,190908,202333
"Monroe, NC",North Carolina,37179,190917,213950
"Dallas, GA",Georgia,13223,191008,206850
"Bourbonnais, IL",Illinois,17091,191067,195933
"Bethlehem, GA",Georgia,13013,191100,204100
"Bellevue, NE",Nebraska,31153,191158,198367
"Lambertville, MI",Michigan,26115,191175,204450
"Delray Beach, FL",Florida,12099,191317,217700
"Castle Hayne, NC",North Carolina,37129,191417,212967
"Burlington, KY",Kentucky,21015,191433,190267
"Ashland City, TN",Tennessee,47021,191500,218750
"Seymour, TN",Tennessee,47155,191517,204733
"Lowell, IN",Indiana,18089,191533,222000
"Forest Acres, SC",South Carolina,45079,191775,215133
"Mountain Home, ID",Idaho,16039,192108,221550
"Margate, FL",Florida,12011,192208,202300
"Owasso, OK",Oklahoma,40143,192208,198200
"Whitehouse, TX",Texas,48423,192400,189400
"Northport, AL",Alabama,1125,192450,193333
"Shiloh, IL",Illinois,17163,192983,198800
"Rock Hill, SC",South Carolina,45091,193200,208150
"North Fort Myers, FL",Florida,12071,193208,191867
"Montgomery, IL",Illinois,17089,193208,183100
"Sanford, ME",Maine,23031,193408,205333
"Angier, NC",North Carolina,37085,193658,191200
"Savannah, GA",Georgia,13051,193692,206450
"Meridianville, AL",Alabama,1089,193700,203800
"Camp Hill, PA",Pennsylvania,42041,193800,225100
"Middleburg, FL",Florida,12019,193808,222800
"Romeoville, IL",Illinois,17197,193892,194667
"Ellijay, GA",Georgia,13123,193958,198150
"Lockhart, TX",Texas,48055,194050,215033
"Robinson, TX",Texas,48309,194200,217100
"Wendell, NC",North Carolina,37183,194425,206667
"Shaker Heights, OH",Ohio,39035,194492,201200
"Clarkston, WA",Washington,53003,194542,216967
"Woodstock, IL",Illinois,17111,194608,186367
"Choctaw, OK",Oklahoma,40109,194633,216167
"Cedar Falls, IA",Iowa,19013,194825,197067
"Jerome, ID",Idaho,16053,194925,201167
"Gardner, MA",Massachusetts,25027,194925,231250
"Sparta, MI",Michigan,26081,194950,188900
"Bath, ME",Maine,23023,195358,198500
"Stroudsburg, PA",Pennsylvania,42089,195600,189150
"Pleasant Hill, MO",Missouri,29037,195617,203400
"Crosby, TX",Texas,48201,195633,191700
"Maryville, TN",Tennessee,47009,195717,205150
"Columbia, TN",Tennessee,47119,195833,209000
"Deland, FL",Florida,12127,195883,211433
"Mount Washington, KY",Kentucky,21029,195992,210900
"Kentwood, MI",Michigan,26081,196033,208767
"Coraopolis, PA",Pennsylvania,42003,196192,219000
"Wayland, MI",Michigan,26005,196242,198700
"North Lauderdale, FL",Florida,12011,196408,198750
"Bullhead City, AZ",Arizona,4015,196458,201600
"Bloomington, IN",Indiana,18105,196517,204567
"Cameron, NC",North Carolina,37125,196642,199900
"Hampton, GA",Georgia,13151,196658,215200
"Christiansburg, VA",Virginia,51121,196658,205467
"Livonia, MI",Michigan,26163,196767,205000
"Ashwaubenon, WI",Wisconsin,55009,196808,190933
"High Springs, FL",Florida,12001,196850,191200
"Moorhead, MN",Minnesota,27027,196925,201700
"Temple Terrace, FL",Florida,12057,196933,207600
"La Grande, OR",Oregon,41061,197233,197667
"Indianola, IA",Iowa,19181,197283,190333
"Norfolk, VA",Virginia,51710,197308,221400
"San Antonio, TX",Texas,48029,197492,206850
"Mountain Top, PA",Pennsylvania,42079,197500,222633
"Oxford, OH",Ohio,39017,197642,222467
"Hamburg, NJ",New Jersey,34037,197658,205400
"Burbank, IL",Illinois,17031,197750,206167
"North Port, FL",Florida,12115,197767,207650
"Gibsonton, FL",Florida,12057,197783,207933
"Harrison, TN",Tennessee,47065,197783,211833
"East Lansing, MI",Michigan,26065,197808,194000
"Greencastle, PA",Pennsylvania,42055,197900,205067
"Greenville, SC",South Carolina,45045,198175,217300
"Minot, ND",North Dakota,38101,198175,220900
"Holyoke, MA",Massachusetts,25013,198208,179967
"Georgetown, KY",Kentucky,21209,198392,201200
"Bettendorf, IA",Iowa,19163,198400,185700
"West Jefferson, NC",North Carolina,37009,198408,192833
"Lake Jackson, TX",Texas,48039,198425,227400
"Streamwood, IL",Illinois,17031,198467,184267
"West Bend, WI",Wisconsin,55131,198475,220500
"Social Circle, GA",Georgia,13297,198533,224400
"Colville, WA",Washington,53065,198783,215533
"Marquette, MI",Michigan,26103,198817,202167
"Richmond, MI",Michigan,26099,198883,222767
"Grove City, OH",Ohio,39049,198892,209700
"Manteno, IL",Illinois,17091,198908,241633
"Hewitt, TX",Texas,48309,199083,199133
"Maumelle, AR",Arkansas,5119,199308,227167
"Rio Rancho, NM",New Mexico,35043,199350,212350
"Tinley Park, IL",Illinois,17031,199383,213900
"Guyton, GA",Georgia,13103,199708,211433
"Lochearn, MD",Maryland,24005,199850,242233
"Forestbrook, SC",South Carolina,45051,199908,197233
"Edwardsville, IL",Illinois,17119,199925,250550
"Youngsville, LA",Louisiana,22055,199925,225567
"Rossville, MD",Maryland,24005,200025,222600
"Beavercreek, OH",Ohio,39057,200050,229733
"Haines City, FL",Florida,12105,200067,203767
"Greenwood, IN",Indiana,18081,200150,210300
"Green, OH",Ohio,39153,200242,206567
"Morgantown, WV",West Virginia,54061,200250,211067
"Sauk Rapids, MN",Minnesota,27009,200317,193050
"Clawson, MI",Michigan,26125,200425,207133
"Aberdeen, MD",Maryland,24025,200458,239300
"Holland, MI",Michigan,26139,200675,204000
"Largo, FL",Florida,12103,200692,218333
"Elizabethtown, PA",Pennsylvania,42071,200700,197000
"Alachua, FL",Florida,12001,200783,214133
"Zachary, LA",Louisiana,22033,201000,197200
"Mount Holly, NC",North Carolina,37071,201083,213867
"Hickory Hills, IL",Illinois,17031,201133,204133
"Pendleton, OR",Oregon,41059,201158,210367
"Dewitt, MI",Michigan,26037,201375,203867
"North Miami, FL",Florida,12086,201383,206650
"Tucson, AZ",Arizona,4019,201600,214650
"Lakeside, VA",Virginia,51087,201783,228033
"Sylvania, OH",Ohio,39095,202075,211533
"Chesterton, IN",Indiana,18127,202117,214967
"Mount Pleasant, WI",Wisconsin,55101,202167,213000
"Ives Estates, FL",Florida,12086,202233,196250
"Eustis, FL",Florida,12069,202250,233950
"Willowbrook, IL",Illinois,17043,202267,249700
"Mankato, MN",Minnesota,27013,202317,219150
"Sterling Heights, MI",Michigan,26099,202483,207950
"Daphne, AL",Alabama,1003,202617,212400
"Plainfield, IN",Indiana,18063,202650,210750
"Walker, MI",Michigan,26081,202867,229700
"Clearwater, FL",Florida,12103,202975,201600
"Hernando, FL",Florida,12017,202992,211600
"Idaho Falls, ID",Idaho,16019,203333,214600
"Garland, TX",Texas,48113,203458,207300
"Porterville, CA",California,6107,203517,216000
"Troy, IL",Illinois,17119,203642,197167
"Northview, MI",Michigan,26081,203892,212533
"Crandall, TX",Texas,48257,203992,206200
"Claymont, DE",Delaware,10003,204075,183533
